Node,SIR
0,34.811
1,2.629
2,1.364
3,5.369
4,1.381
5,3.538
6,1.264
7,10.572
8,2.947
9,7.157
10,2.611
11,1.142
12,1.122
13,6.451
14,2.306
15,1.183
16,1.766
17,2.897
18,1.945
19,1.956
20,1.977
21,13.684
22,2.367
23,1.579
24,1.937
25,6.975
26,11.194
27,2.445
28,1.61
29,2.4
30,3.865
31,5.604
32,2.755
33,1.476
34,9.339
35,1.139
36,2.936
37,1.871
38,2.885
39,1.887
40,7.287
41,2.085
42,1.252
43,2.07
44,1.657
45,3.485
46,2.055
47,1.547
48,5.124
49,1.21
50,2.246
51,2.371
52,2.007
53,3.248
54,1.892
55,3.661
56,14.135
57,2.29
58,21.061
59,3.914
60,2.362
61,1.513
62,4.22
63,2.276
64,1.406
65,2.853
66,3.541
67,15.665
68,2.135
69,3.78
70,2.262
71,1.193
72,2.951
73,2.947
74,2.259
75,3.545
76,2.417
77,2.497
78,1.785
79,2.681
80,2.533
81,1.671
82,4.176
83,1.957
84,2.404
85,2.626
86,1.311
87,11.38
88,3.844
89,2.328
90,1.861
91,1.693
92,1.815
93,2.48
94,3.657
95,1.256
96,2.55
97,1.13
98,7.078
99,1.411
100,1.434
101,3.321
102,1.792
103,8.742
104,4.704
105,3.654
106,2.991
107,446.82
108,2.147
109,4.777
110,1.274
111,2.984
112,1.301
113,9.63
114,1.131
115,2.396
116,2.954
117,1.949
118,5.719
119,7.003
120,10.243
121,2.867
122,9.853
123,3.833
124,3.52
125,4.563
126,1.886
127,2.087
128,4.963
129,1.343
130,2.759
131,2.399
132,3.049
133,5.477
134,2.766
135,2.236
136,327.051
137,1.505
138,1.967
139,2.158
140,2.269
141,6.628
142,5.291
143,1.424
144,2.469
145,1.24
146,10.92
147,1.347
148,3.625
149,1.522
150,2.799
151,1.336
152,1.334
153,2.557
154,1.862
155,1.226
156,8.271
157,2.135
158,5.13
159,2.526
160,1.131
161,6.691
162,1.796
163,1.423
164,1.256
165,3.585
166,2.003
167,1.725
168,2.252
169,12.277
170,6.828
171,12.033
172,6.046
173,7.739
174,2.571
175,2.017
176,2.919
177,1.414
178,1.988
179,1.856
180,1.834
181,2.095
182,1.297
183,1.237
184,2.132
185,4.047
186,8.347
187,2.667
188,6.781
189,1.688
190,1.189
191,2.273
192,2.29
193,1.962
194,2.21
195,1.97
196,2.974
197,2.774
198,3.182
199,5.281
200,6.257
201,1.617
202,1.619
203,8.43
204,2.59
205,1.577
206,1.99
207,2.808
208,1.877
209,1.122
210,1.174
211,3.863
212,3.748
213,11.554
214,2.026
215,3.24
216,1.513
217,3.005
218,1.635
219,1.976
220,1.313
221,2.665
222,3.041
223,4.529
224,4.208
225,1.467
226,1.896
227,2.59
228,1.25
229,1.892
230,1.502
231,2.574
232,3.684
233,1.242
234,1.273
235,1.459
236,6.87
237,2.594
238,4.493
239,8.744
240,1.416
241,2.283
242,2.587
243,1.782
244,1.495
245,2.005
246,11.288
247,1.243
248,3.276
249,4.075
250,1.388
251,2.226
252,9.683
253,1.619
254,2.085
255,1.315
256,1.822
257,3.157
258,1.793
259,1.522
260,2.333
261,4.7
262,1.632
263,1.996
264,1.648
265,3.427
266,2.408
267,1.286
268,2.71
269,2.043
270,2.197
271,10.993
272,5.343
273,1.72
274,2.635
275,1.342
276,2.349
277,8.728
278,2.0
279,1.144
280,7.559
281,1.782
282,1.226
283,2.008
284,2.413
285,10.305
286,2.567
287,1.591
288,1.373
289,1.627
290,3.782
291,7.266
292,2.135
293,1.875
294,1.224
295,2.7
296,1.377
297,5.536
298,3.557
299,2.421
300,1.309
301,2.596
302,2.953
303,3.051
304,15.288
305,1.223
306,1.402
307,1.24
308,10.745
309,1.817
310,1.513
311,2.279
312,2.365
313,5.212
314,2.27
315,14.761
316,1.211
317,1.351
318,2.402
319,1.343
320,2.638
321,1.524
322,11.198
323,6.811
324,7.59
325,4.934
326,2.319
327,1.851
328,1.465
329,3.859
330,2.391
331,2.137
332,5.664
333,2.767
334,4.61
335,1.568
336,2.551
337,2.039
338,1.869
339,6.905
340,1.453
341,3.307
342,4.973
343,2.634
344,1.577
345,2.898
346,2.155
347,1.729
348,100.156
414,69.653
428,99.289
1684,109.533
1912,470.901
2814,2.453
2838,2.853
2885,4.463
3003,2.376
3173,6.479
3290,4.942
353,110.935
363,98.204
366,98.152
376,101.369
389,28.811
420,40.528
475,90.67
483,192.769
484,132.94
517,98.141
526,222.644
538,87.993
563,72.061
566,88.471
580,84.539
596,56.2
601,33.616
606,112.36
629,15.691
637,121.739
641,83.044
649,13.327
651,81.069
896,156.127
897,233.69
898,61.771
899,10.177
900,16.423
901,14.8
902,76.893
903,21.649
904,6.345
905,23.745
906,282.541
907,52.154
908,30.754
909,12.416
910,11.09
911,9.685
912,12.385
913,96.218
914,25.957
915,43.311
916,378.038
917,132.605
918,10.434
919,60.205
920,54.963
921,331.413
922,113.424
923,17.306
924,44.492
925,381.896
926,101.926
927,283.566
928,10.788
929,11.331
930,60.343
931,19.466
932,251.271
933,47.839
934,313.401
935,15.786
936,55.0
937,10.792
938,17.132
939,17.283
940,13.954
941,73.114
942,98.606
943,13.521
944,33.417
945,10.249
946,385.609
947,364.946
948,49.958
949,24.073
950,16.062
951,44.975
952,310.953
953,324.989
954,79.077
955,9.233
956,10.342
957,99.925
958,17.281
959,187.213
960,336.845
961,21.659
962,32.958
963,23.637
964,22.038
965,18.605
966,363.635
967,328.943
968,101.073
969,43.69
970,11.477
971,50.981
972,107.314
973,39.76
974,12.629
975,97.072
976,30.117
977,21.877
978,327.441
979,10.84
980,375.363
981,87.201
982,270.818
983,264.279
984,74.991
985,11.247
986,18.244
987,8.628
988,79.19
989,65.262
990,19.749
991,52.824
992,17.986
993,394.023
994,51.747
995,234.618
996,6.996
997,320.718
998,30.758
999,316.474
1000,14.312
1001,78.11
1002,12.316
1003,323.288
1004,358.518
1005,21.457
1006,378.721
1007,38.114
1008,14.575
1009,94.663
1010,31.676
1011,29.199
1012,72.951
1013,21.149
1014,125.459
1015,67.482
1016,7.111
1017,381.125
1018,79.581
1019,95.449
1020,95.714
1021,106.373
1022,19.216
1023,15.819
1024,281.965
1025,53.421
1026,283.672
1027,9.158
1028,282.645
1029,271.504
1030,14.185
1031,13.985
1032,105.465
1033,15.843
1034,9.784
1035,20.547
1036,99.429
1037,33.714
1038,13.821
1039,138.642
1040,265.458
1041,33.675
1042,19.142
1043,15.543
1044,52.059
1045,8.398
1046,9.706
1047,244.281
1048,317.988
1049,288.09
1050,12.943
1051,42.777
1052,63.77
1053,14.994
1054,227.749
1055,27.538
1056,245.002
1057,9.373
1058,13.427
1059,401.389
1060,88.984
1061,8.958
1062,36.635
1063,112.25
1064,21.657
1065,5.907
1066,85.931
1067,117.483
1068,206.607
1069,98.128
1070,60.587
1071,9.464
1072,20.687
1073,23.685
1074,236.993
1075,289.039
1076,387.259
1077,41.764
1078,403.494
1079,359.7
1080,81.148
1081,64.277
1082,87.719
1083,339.163
1084,72.665
1085,26.918
1086,400.125
1087,12.91
1088,13.164
1089,17.427
1090,14.075
1091,99.754
1092,213.355
1093,13.298
1094,13.944
1095,50.771
1096,6.164
1097,20.215
1098,18.795
1099,90.085
1100,96.083
1101,369.304
1102,79.244
1103,18.524
1104,147.597
1105,6.722
1106,29.007
1107,370.36
1108,78.913
1109,34.889
1110,244.41
1111,8.078
1112,223.239
1113,52.78
1114,56.589
1115,63.861
1116,139.869
1117,372.349
1118,17.863
1119,9.027
1120,87.713
1121,26.672
1122,67.787
1123,250.128
1124,352.446
1125,355.876
1126,405.794
1127,17.068
1128,321.41
1129,89.239
1130,253.75
1131,28.022
1132,383.677
1133,31.796
1134,9.974
1135,247.234
1136,22.617
1137,16.099
1138,12.056
1139,18.438
1140,15.589
1141,20.977
1142,44.905
1143,37.684
1144,14.234
1145,9.631
1146,372.413
1147,14.575
1148,106.185
1149,332.238
1150,21.578
1151,24.089
1152,40.187
1153,374.789
1154,11.26
1155,75.888
1156,331.984
1157,13.438
1158,95.826
1159,59.426
1160,323.576
1161,38.42
1162,16.172
1163,323.627
1164,130.943
1165,34.502
1166,76.798
1167,30.985
1168,11.618
1169,23.689
1170,41.483
1171,42.045
1172,359.573
1173,333.035
1174,18.424
1175,365.196
1176,8.356
1177,17.398
1178,10.374
1179,65.407
1180,220.816
1181,313.102
1182,254.519
1183,40.381
1184,397.066
1185,394.786
1186,12.215
1187,21.564
1188,30.244
1189,34.664
1190,67.838
1191,351.278
1192,149.48
1193,9.168
1194,10.51
1195,208.035
1196,120.949
1197,24.229
1198,309.766
1199,416.994
1200,10.994
1201,251.318
1202,13.452
1203,11.11
1204,143.929
1205,333.441
1206,8.141
1207,285.364
1208,10.723
1209,276.345
1210,57.551
1211,388.182
1212,26.585
1213,13.22
1214,343.508
1215,77.999
1216,23.583
1217,88.875
1218,12.261
1219,230.019
1220,44.665
1221,91.891
1222,371.887
1223,39.121
1224,5.615
1225,29.805
1226,27.876
1227,118.487
1228,27.005
1229,70.687
1230,355.127
1231,111.383
1232,18.907
1233,8.849
1234,12.347
1235,131.517
1236,29.473
1237,99.487
1238,371.604
1239,48.785
1240,12.723
1241,28.422
1242,302.958
1243,345.357
1244,15.477
1245,62.551
1246,38.002
1247,34.241
1248,15.442
1249,21.363
1250,378.594
1251,12.717
1252,8.23
1253,10.239
1254,8.141
1255,367.05
1256,376.331
1257,95.028
1258,44.766
1259,39.374
1260,39.652
1261,106.733
1262,15.084
1263,20.454
1264,11.814
1265,140.68
1266,18.217
1267,368.613
1268,15.959
1269,363.12
1270,7.069
1271,334.013
1272,305.411
1273,85.776
1274,25.264
1275,39.736
1276,17.521
1277,154.895
1278,174.153
1279,72.787
1280,269.697
1281,63.943
1282,99.258
1283,66.531
1284,97.912
1285,238.527
1286,45.038
1287,275.959
1288,317.613
1289,312.826
1290,293.766
1291,344.191
1292,91.023
1293,224.495
1294,32.278
1295,8.735
1296,31.519
1297,11.571
1298,111.978
1299,28.693
1300,42.798
1301,14.09
1302,333.061
1303,77.463
1304,30.829
1305,316.215
1306,22.577
1307,16.955
1308,19.237
1309,65.828
1310,29.674
1311,27.25
1312,290.65
1313,58.663
1314,20.475
1315,67.79
1316,55.461
1317,27.527
1318,55.976
1319,22.878
1320,78.937
1321,69.144
1322,118.471
1323,305.995
1324,76.908
1325,15.702
1326,7.959
1327,143.865
1328,20.782
1329,364.771
1330,345.894
1331,385.675
1332,57.679
1333,21.854
1334,307.619
1335,377.046
1336,238.579
1337,67.251
1338,61.312
1339,337.814
1340,265.046
1341,362.359
1342,23.009
1343,59.646
1344,311.548
1345,125.782
1346,18.995
1347,108.814
1348,36.48
1349,67.239
1350,68.334
1351,276.401
1352,410.175
1353,9.611
1354,9.31
1355,39.441
1356,21.917
1357,50.234
1358,90.786
1359,305.239
1360,22.913
1361,374.688
1362,13.819
1363,13.595
1364,25.743
1365,190.069
1366,67.356
1367,392.364
1368,13.935
1369,170.973
1370,357.178
1371,26.696
1372,12.972
1373,87.848
1374,66.285
1375,277.629
1376,404.729
1377,405.348
1378,22.363
1379,91.808
1380,319.39
1381,59.174
1382,74.296
1383,10.779
1384,17.274
1385,29.713
1386,5.406
1387,13.218
1388,300.017
1389,226.993
1390,420.304
1391,399.916
1392,74.594
1393,211.331
1394,6.767
1395,10.278
1396,65.543
1397,37.143
1398,193.998
1399,411.528
1400,39.72
1401,68.183
1402,300.846
1403,7.236
1404,90.592
1405,133.074
1406,50.026
1407,168.378
1408,49.383
1409,334.722
1410,15.925
1411,40.015
1412,24.232
1413,105.86
1414,18.984
1415,22.765
1416,341.051
1417,28.737
1418,38.767
1419,37.044
1420,378.732
1421,18.415
1422,36.635
1423,100.425
1424,21.41
1425,45.1
1426,103.389
1427,99.157
1428,27.869
1429,64.322
1430,12.392
1431,413.658
1432,91.028
1433,15.54
1434,36.698
1435,173.384
1436,56.06
1437,227.261
1438,74.102
1439,122.335
1440,84.826
1441,32.99
1442,22.509
1443,13.823
1444,56.418
1445,12.497
1446,45.692
1447,370.417
1448,95.767
1449,308.993
1450,24.789
1451,60.559
1452,23.043
1453,36.751
1454,78.898
1455,14.768
1456,361.279
1457,255.05
1458,136.185
1459,127.817
1460,179.588
1461,18.332
1462,112.451
1463,55.071
1464,36.034
1465,356.429
1466,4.971
1467,347.828
1468,15.847
1469,43.099
1470,264.139
1471,383.522
1472,72.848
1473,77.119
1474,12.216
1475,108.286
1476,8.148
1477,16.823
1478,18.668
1479,128.305
1480,310.559
1481,21.751
1482,52.268
1483,313.027
1484,113.277
1485,208.589
1486,7.63
1487,119.824
1488,376.216
1489,33.366
1490,20.53
1491,368.656
1492,29.174
1493,17.354
1494,13.627
1495,86.846
1496,48.159
1497,83.603
1498,27.086
1499,12.035
1500,29.337
1501,86.907
1502,94.652
1503,47.041
1504,51.669
1505,41.917
1506,15.179
1507,34.593
1508,61.11
1509,375.085
1510,8.351
1511,23.792
1512,54.025
1513,189.45
1514,56.326
1515,105.033
1516,394.808
1517,173.672
1518,25.359
1519,120.011
1520,338.343
1521,20.629
1522,379.986
1523,255.617
1524,193.021
1525,65.086
1526,36.804
1527,40.511
1528,260.946
1529,53.66
1530,334.026
1531,33.099
1532,194.001
1533,15.312
1534,44.397
1535,245.96
1536,84.038
1537,42.635
1538,281.477
1539,307.64
1540,225.343
1541,31.106
1542,231.58
1543,51.457
1544,37.847
1545,49.453
1546,9.21
1547,370.293
1548,20.158
1549,44.257
1550,66.059
1551,403.667
1552,16.056
1553,104.217
1554,383.232
1555,20.68
1556,124.78
1557,371.395
1558,8.32
1559,398.732
1560,11.649
1561,62.116
1562,30.363
1563,348.936
1564,31.862
1565,52.729
1566,29.46
1567,17.77
1568,19.191
1569,64.447
1570,352.112
1571,238.38
1572,189.783
1573,129.374
1574,79.158
1575,40.63
1576,103.197
1577,415.986
1578,62.654
1579,11.905
1580,306.4
1581,7.308
1582,73.992
1583,120.521
1584,411.99
1585,36.203
1586,11.243
1587,83.903
1588,14.662
1589,417.383
1590,297.492
1591,120.293
1592,47.461
1593,17.708
1594,57.701
1595,76.144
1596,116.613
1597,345.933
1598,368.948
1599,19.464
1600,353.204
1601,19.951
1602,17.599
1603,391.326
1604,376.168
1605,320.945
1606,49.02
1607,7.386
1608,360.181
1609,323.023
1610,399.953
1611,110.526
1612,405.918
1613,401.467
1614,263.251
1615,19.21
1616,65.223
1617,365.4
1618,110.179
1619,354.551
1620,341.921
1621,404.939
1622,394.291
1623,340.594
1624,30.96
1625,30.726
1626,109.73
1627,7.844
1628,115.726
1629,14.183
1630,67.092
1631,22.808
1632,298.619
1633,25.986
1634,34.421
1635,62.25
1636,116.61
1637,320.222
1638,68.881
1639,277.658
1640,10.314
1641,20.966
1642,21.142
1643,319.967
1644,269.236
1645,68.314
1646,58.691
1647,79.285
1648,13.897
1649,59.404
1650,23.74
1651,30.524
1652,299.478
1653,273.525
1654,13.128
1655,86.556
1656,34.455
1657,8.878
1658,56.64
1659,306.639
1660,38.139
1661,107.753
1662,383.49
1663,431.272
1664,9.239
1665,365.1
1666,38.772
1667,29.832
1668,364.507
1669,373.549
1670,35.447
1671,38.941
1672,28.369
1673,58.924
1674,65.126
1675,357.518
1676,12.698
1677,50.206
1678,45.279
1679,43.34
1680,101.621
1681,28.662
1682,78.558
1683,351.298
1685,320.775
1686,34.326
1687,29.007
1688,290.963
1689,356.026
1690,7.925
1691,99.543
1692,70.587
1693,12.497
1694,43.678
1695,39.24
1696,24.152
1697,26.701
1698,33.7
1699,53.027
1700,100.139
1701,11.427
1702,120.827
1703,62.542
1704,44.696
1705,17.559
1706,64.61
1707,409.332
1708,13.542
1709,51.81
1710,71.45
1711,24.135
1712,325.333
1713,9.238
1714,401.463
1715,105.165
1716,84.795
1717,377.652
1718,403.726
1719,12.44
1720,78.74
1721,360.517
1722,215.592
1723,227.844
1724,235.206
1725,50.436
1726,28.448
1727,56.708
1728,55.867
1729,109.249
1730,422.364
1731,17.176
1732,73.943
1733,18.951
1734,226.111
1735,356.368
1736,394.476
1737,302.063
1738,36.887
1739,20.337
1740,57.445
1741,331.915
1742,111.627
1743,25.181
1744,50.741
1745,31.297
1746,392.772
1747,19.22
1748,16.636
1749,16.03
1750,359.669
1751,70.294
1752,349.192
1753,307.408
1754,241.926
1755,12.554
1756,17.031
1757,380.562
1758,26.522
1759,10.43
1760,10.302
1761,344.023
1762,9.95
1763,39.889
1764,45.177
1765,252.464
1766,47.95
1767,51.454
1768,397.498
1769,113.962
1770,34.087
1771,94.877
1772,256.945
1773,39.145
1774,163.184
1775,37.965
1776,8.649
1777,14.8
1778,53.608
1779,49.534
1780,65.104
1781,31.634
1782,265.931
1783,126.873
1784,13.476
1785,31.314
1786,126.594
1787,21.727
1788,13.395
1789,341.303
1790,56.14
1791,360.555
1792,7.91
1793,384.335
1794,81.873
1795,312.239
1796,271.493
1797,29.178
1798,23.039
1799,386.855
1800,416.123
1801,33.86
1802,8.578
1803,14.342
1804,418.132
1805,85.524
1806,22.535
1807,88.925
1808,23.253
1809,349.287
1810,331.353
1811,269.964
1812,70.184
1813,379.546
1814,16.063
1815,28.222
1816,377.18
1817,40.343
1818,81.927
1819,295.162
1820,89.635
1821,156.294
1822,12.347
1823,374.793
1824,94.796
1825,15.868
1826,333.396
1827,393.535
1828,84.283
1829,22.721
1830,28.641
1831,36.418
1832,199.127
1833,406.374
1834,9.762
1835,402.938
1836,107.256
1837,23.347
1838,12.989
1839,387.531
1840,12.315
1841,89.215
1842,349.802
1843,173.245
1844,111.126
1845,316.567
1846,143.953
1847,22.962
1848,55.9
1849,367.533
1850,48.834
1851,163.672
1852,55.953
1853,27.579
1854,8.256
1855,12.749
1856,25.176
1857,101.583
1858,70.126
1859,80.448
