Node,SIR
3466,5.279
937,4.564
5233,2.83
8579,3.057
10310,15.713
15931,5.667
17038,25.45
18720,2.419
19607,2.241
1854,5.917
4583,4.59
9572,38.563
10841,6.673
13056,9.44
14982,2.932
16310,21.044
19640,78.29
23855,3.663
24372,2.313
24814,7.117
5052,37.52
899,7.979
1796,4.309
2287,23.527
3096,11.799
3386,9.178
4472,6.63
5346,11.096
5740,4.87
6094,7.604
6376,3.699
9124,11.093
10235,37.208
10427,14.847
10597,4.814
15159,5.586
16148,19.165
16741,5.503
18235,5.366
18549,3.996
19297,13.822
20511,84.911
20595,16.156
20613,16.116
24371,23.242
24559,17.777
24731,4.937
25102,12.045
25271,64.664
25396,85.156
1658,4.348
4822,1.974
6864,2.101
7689,24.773
7926,12.776
10268,3.253
12971,1.65
18600,2.614
20421,2.885
20886,2.326
21048,2.657
22393,7.223
23186,5.182
23214,2.937
23298,3.088
23945,3.426
24939,2.26
339,87.061
624,52.131
3731,29.13
4743,92.917
5407,28.771
6610,158.292
6700,98.717
8045,56.049
9099,29.322
9639,74.27
9785,159.21
12141,12.167
15184,32.515
15784,54.099
18719,107.783
19870,65.342
20532,67.136
22527,65.029
23576,8.334
23577,30.396
23649,27.448
24199,13.688
24293,51.706
25201,46.347
10243,67.694
6774,113.714
8049,61.906
8053,14.521
8517,32.818
11964,21.153
15538,79.667
16694,15.742
18648,15.961
19423,156.42
21012,161.171
22457,104.779
22691,160.109
23452,110.964
16174,8.497
16470,1.093
17822,1.091
14265,23.166
392,2.665
2485,10.831
2949,35.634
3173,4.578
3441,3.521
3593,5.601
3853,3.05
3927,4.669
3937,12.806
3939,26.716
5107,11.88
5218,2.948
5230,3.164
6030,4.331
7350,29.398
7504,6.48
7601,3.859
8718,3.194
9522,7.736
11621,4.307
12498,2.805
12691,2.892
15251,2.553
16020,9.386
16261,3.357
17156,3.691
17626,7.376
18622,2.66
19059,4.091
19525,3.293
19738,10.725
20122,5.357
20432,3.338
21866,3.246
22074,8.893
23721,5.074
8916,10.006
13556,16.144
14485,45.276
8612,39.186
615,13.274
743,8.069
2076,4.388
4515,10.793
5773,9.085
9482,97.25
10822,4.724
11175,59.683
11604,6.954
14004,5.005
15003,159.18
15552,62.291
15814,13.153
16083,10.05
17932,12.732
20001,5.737
20100,19.197
23481,33.915
16258,11.398
1356,2.46
1727,12.63
2752,4.867
4125,20.945
6667,2.786
6825,2.308
10039,6.809
10351,2.573
11082,63.122
14123,7.786
16676,1.869
21194,2.673
10912,1.772
14534,6.013
17268,13.125
19783,1.262
21705,4.03
22836,1.745
2710,14.873
62,4.637
106,3.289
260,4.289
2959,8.015
3677,9.11
4708,2.441
5172,4.425
5541,6.28
5794,2.649
5807,11.303
6575,4.136
8458,2.357
10601,3.115
11401,1.894
13026,2.484
13205,3.664
13659,3.984
13989,9.235
14007,3.034
14009,3.709
14599,15.324
15301,2.648
18757,10.838
20934,3.008
21543,6.255
22184,8.069
23647,13.517
23708,14.131
25916,4.446
26023,2.036
26051,2.669
26100,2.273
214,7.87
5435,2.708
6512,62.031
10590,8.396
23559,3.121
1765,3.452
3032,15.567
5302,11.457
7383,18.7
7442,15.022
7768,9.917
13276,25.795
17266,10.401
22415,18.155
10794,1.625
7050,3.287
25850,1.336
10113,9.968
10657,1.798
12130,9.69
17172,4.395
4846,83.55
676,94.06
824,71.513
2133,62.683
2654,102.101
4748,79.635
5672,9.264
10549,30.374
12928,62.716
13220,39.334
14419,79.778
17330,68.035
17439,94.13
18487,80.721
20850,60.61
22779,62.104
23382,79.011
24029,24.322
11785,80.993
45,160.484
46,156.738
570,160.055
773,160.035
1653,159.649
2212,158.164
2741,159.854
2952,156.431
3372,157.566
4046,14.163
4164,160.104
4511,156.457
4513,158.784
5262,15.583
6179,159.233
6830,156.411
7956,159.249
8879,157.428
11241,160.112
11472,157.491
12365,159.044
12496,158.188
12678,18.438
12781,160.847
12851,159.56
14540,158.685
14807,159.188
15659,159.397
16159,21.065
17655,159.743
17692,160.156
18894,157.888
19961,158.547
20108,156.078
20562,158.605
20635,159.429
21281,159.554
21508,159.661
21847,157.39
22798,18.129
22887,158.029
23293,157.503
24955,161.132
25346,158.527
25758,157.236
934,34.574
5579,9.684
9755,104.649
10550,17.381
16032,64.261
17331,7.569
17603,23.017
20644,43.62
22497,16.062
23387,14.769
23907,17.339
24924,32.955
25080,45.787
12422,33.213
1339,16.735
3164,17.309
15580,25.0
16393,14.74
20478,52.303
20956,7.407
3890,40.797
5621,84.455
8824,9.949
11613,21.303
12306,17.111
12860,14.084
14547,6.989
18182,11.494
21707,13.625
24696,18.354
2661,13.469
7899,11.892
8067,11.183
8208,11.345
11132,12.512
11402,9.012
12980,15.403
13364,33.087
14969,15.536
16389,62.107
18109,12.497
18365,16.066
23038,44.066
24845,13.286
25379,8.148
13740,11.636
4550,16.676
4702,2.311
7264,14.01
13096,20.414
14128,7.314
19489,13.943
19527,5.295
19784,2.095
22476,16.785
25006,27.368
25486,2.28
26,6.775
1407,7.557
1488,25.292
8219,3.913
10762,19.529
11801,12.185
12665,2.366
12688,4.817
13142,19.246
15108,10.105
15321,3.689
20647,4.151
20827,11.108
20879,9.573
23614,9.687
3909,18.088
17979,5.029
3872,14.846
5109,2.982
7533,41.932
12409,3.535
20101,1.627
23096,3.342
8862,5.245
78,2.151
4877,2.474
7459,12.506
8254,4.668
12155,2.184
22598,13.204
24932,3.391
888,7.789
1520,7.224
6468,5.852
6627,2.158
7007,16.215
7712,17.548
10711,15.598
13614,13.846
14102,8.438
18517,8.515
18676,3.739
23351,8.337
23689,3.103
24114,1.995
2465,4.012
2592,1.553
3977,5.112
5055,1.57
5993,12.766
9265,1.286
12334,13.633
19890,2.152
20341,1.431
21560,1.445
17309,1.514
24833,5.573
543,6.932
1958,7.854
2193,3.668
3917,2.001
6858,1.982
8148,1.838
9092,3.767
12478,4.431
15366,1.683
18125,3.11
18398,1.848
19675,5.097
21806,2.432
23693,4.497
26196,4.261
10115,1.182
10134,1.1
23916,1.118
7893,7.943
593,4.666
5510,16.137
9360,19.415
12627,4.573
16778,5.414
18037,5.043
18051,6.874
13385,1.757
19578,1.542
12386,2.664
13333,2.397
23896,4.027
8978,2.888
9017,8.93
15170,2.792
15455,7.309
16589,2.7
2255,2.641
3056,2.709
6158,3.169
7307,10.377
7324,2.529
8365,6.076
9023,1.761
11444,2.31
12324,3.45
12472,5.307
13831,6.55
14746,13.664
16128,3.99
17075,7.059
18875,3.981
19900,2.816
20000,3.355
20806,1.948
21944,3.569
21968,6.508
23302,3.18
23665,4.598
23758,2.225
24722,2.366
12045,1.479
12287,2.772
14181,5.483
20257,2.166
21613,1.594
7510,1.943
197,1.712
8851,11.001
1343,2.534
2991,3.274
8299,1.802
15416,2.112
18088,4.188
25286,13.475
1254,12.021
3420,15.43
10130,31.619
2250,79.513
3243,9.4
7717,78.269
7985,17.598
11015,84.431
12085,56.947
13714,78.753
14767,76.843
16056,17.625
16994,28.328
17414,20.455
18971,75.75
19216,79.854
20534,75.913
21776,13.232
21860,30.031
25205,77.781
178,15.467
1248,6.107
1403,7.101
2368,11.208
2420,16.214
16210,23.506
18681,17.629
20641,5.121
24762,6.008
2307,15.94
6934,41.496
22423,11.73
231,111.676
345,87.565
1186,96.776
1234,46.333
1841,49.224
1997,72.569
2404,44.015
2450,27.609
2980,112.137
3409,91.45
5134,58.919
5578,62.446
8503,77.025
9341,55.357
9889,63.661
12503,66.279
13060,89.538
13597,75.295
16611,44.652
18208,37.067
18543,36.824
18866,138.555
22421,37.331
22937,99.271
23363,59.752
23628,67.607
25053,55.351
25251,26.888
2982,30.754
4036,14.653
4115,22.664
12938,24.807
13032,17.958
19215,19.424
21432,52.541
22726,17.25
22834,30.432
22966,23.566
23511,18.523
25528,18.246
25836,28.203
14376,11.125
8710,1.845
22483,2.536
1375,3.856
2846,11.53
5555,9.908
5564,12.118
5787,27.027
9721,4.226
10158,3.8
10942,15.78
13600,5.043
13929,42.113
21075,8.186
21316,5.133
22900,3.903
23637,11.209
23770,11.846
25143,6.166
25601,4.186
25980,4.346
17394,1.536
18924,3.539
3113,5.939
8312,2.57
10765,2.856
17538,2.573
25978,3.202
1172,3.428
5674,1.421
26194,1.725
375,1.202
1838,1.57
12733,4.437
7188,25.596
896,19.198
921,4.416
1508,16.769
6815,12.543
7209,24.706
8279,18.227
13008,27.173
18605,3.461
21158,6.093
4632,106.273
7844,61.801
11053,52.203
11148,57.652
13411,65.669
14512,99.69
16594,114.442
16722,51.154
16726,26.063
16876,51.736
19954,46.571
19992,42.275
20391,22.029
20774,101.437
23403,70.486
4870,2.417
5175,9.043
8282,2.737
22046,5.832
2449,57.471
4766,3.532
3561,5.277
4868,1.828
8352,2.156
10456,12.553
15365,3.821
16931,4.735
8157,1.083
2120,1.088
7713,1.104
19052,1.087
8302,1.081
16484,1.093
17778,4.566
2556,12.21
19159,4.088
21699,3.786
25382,5.99
8701,16.154
523,2.609
5464,5.189
7774,2.383
17379,10.52
18008,2.362
23385,2.058
25868,1.877
26170,5.315
1310,5.246
2922,3.215
3651,43.98
6891,6.381
10162,7.2
10620,1.637
11112,2.953
13174,2.579
14864,7.208
17536,12.218
23153,5.796
24340,2.986
11102,15.029
18592,3.763
22765,2.271
1896,3.48
6838,2.966
25220,3.9
4180,43.472
10055,34.934
12637,18.658
1832,15.99
4383,12.988
7014,21.322
9397,51.426
14344,14.286
14385,15.265
21379,80.552
24163,13.655
4416,21.972
9241,11.441
2620,6.271
3679,3.752
4364,22.089
5712,14.439
13955,8.891
14003,5.958
15235,9.39
18227,6.509
19445,2.389
19495,2.193
20168,11.287
23967,21.142
1116,3.5
15399,2.595
18222,2.196
21287,4.23
23227,1.684
4624,6.537
5355,1.583
6863,1.887
12606,4.734
12968,17.886
15770,1.906
21322,1.376
22265,5.672
22336,5.887
23099,1.685
23880,5.273
25111,4.872
4319,1.359
12758,1.264
22023,1.133
14337,2.096
5849,1.515
10763,1.13
11121,1.193
11194,1.894
15799,3.216
16511,1.708
16575,3.198
16945,1.158
21157,1.179
2326,3.025
10253,1.409
13190,4.43
14325,1.382
19048,4.321
20182,2.368
3595,49.054
18174,48.668
17850,5.888
20620,7.807
12380,7.917
3197,5.565
6160,5.717
8589,18.329
9417,6.876
9829,8.154
14638,8.506
14924,23.405
15972,3.397
17228,6.3
18940,13.75
19090,6.495
19475,7.866
20207,6.212
22644,14.695
22790,11.373
24001,18.988
25228,18.718
9710,8.435
3345,4.806
3430,4.367
5266,2.455
5995,2.223
7999,1.374
8047,2.119
8178,1.905
8868,1.356
10824,2.515
15144,10.929
19107,3.662
19806,1.496
22439,2.358
23304,1.311
24431,3.241
11077,3.642
10211,4.168
14972,1.704
15300,5.788
17158,2.247
17162,1.427
17403,1.666
20149,1.566
20519,1.486
21389,1.774
22951,5.061
23912,1.719
23918,1.667
25589,2.296
6895,2.031
3076,9.981
7444,53.583
8972,8.605
17308,4.412
20574,56.777
21629,17.392
245,2.542
4983,2.984
13480,2.985
14562,1.683
15912,1.747
16976,4.981
19974,3.075
22245,1.821
414,1.363
8708,1.094
23776,1.087
1044,18.412
4975,16.439
5809,7.753
12587,11.385
16123,11.427
20303,10.623
4451,2.296
9983,2.173
15205,2.525
15666,2.383
15667,2.421
19093,6.134
21031,2.201
24330,5.816
5840,2.708
6732,5.954
8614,2.779
13847,8.036
15081,3.747
22609,4.124
3310,24.277
5143,5.07
9735,6.498
17396,3.016
26138,2.733
4700,2.21
5606,2.701
1386,3.549
1738,2.186
2566,1.725
2720,2.218
5634,2.643
9870,2.133
16779,1.872
24475,3.159
25931,4.189
1817,1.646
3725,1.599
5366,1.272
15911,1.536
9800,42.626
26141,41.004
18001,3.27
22177,22.255
25480,5.462
1425,8.855
2501,6.791
2823,3.961
5136,4.551
7105,8.711
7317,4.304
9127,2.991
14615,7.02
17089,4.821
19454,4.342
22758,9.792
23841,10.688
3207,1.6
7125,6.561
20683,7.804
25419,7.551
2591,7.514
8932,2.465
9188,2.784
9773,2.801
13713,2.73
19179,11.843
14818,3.515
26190,14.398
3839,32.578
13615,10.097
16674,40.91
7042,2.968
9269,2.645
11661,8.987
21994,9.937
9943,11.103
10096,17.465
15614,7.844
16368,8.341
17285,7.788
21407,4.725
8715,8.784
21142,2.803
21167,2.959
13621,1.096
25388,1.089
284,1.402
6427,2.361
16835,1.355
18677,1.424
21696,1.36
25854,1.25
25940,17.434
9485,2.744
10435,2.699
14698,2.174
21823,3.935
811,2.893
9964,2.267
11919,2.219
15123,2.121
17021,1.252
19517,3.628
22989,3.216
23485,2.265
8069,1.26
2127,1.332
11712,5.944
10871,7.147
15829,2.399
16106,2.219
17207,6.525
17670,2.263
18286,6.389
18612,2.299
19234,1.839
19724,2.043
22876,4.758
3412,3.528
894,4.258
4814,6.579
5441,5.473
5717,5.519
5934,8.158
9075,4.48
10623,6.867
11223,4.43
11491,3.672
12659,5.545
14351,6.206
19807,4.619
21324,2.906
21665,3.777
22734,3.432
22778,10.025
23246,4.648
25698,15.753
7615,7.662
12806,4.256
1620,9.404
3922,7.329
9133,3.468
9895,4.318
9907,14.468
11791,4.564
18457,3.651
19131,3.382
19997,2.124
21491,37.209
22426,4.785
22791,3.611
25158,3.894
25316,4.163
352,2.911
3996,1.955
10555,3.549
15850,3.592
19101,2.402
20533,2.14
21943,5.612
22603,2.127
23513,2.537
25034,11.608
1280,2.525
5851,2.476
11591,4.189
13520,6.605
16921,3.947
21646,5.369
17559,6.903
1674,4.928
3323,3.18
8680,3.599
9184,15.676
13813,5.342
19204,5.033
19206,2.326
19657,6.498
20373,13.29
23204,7.366
409,2.259
2474,2.463
4241,15.163
6746,2.556
10476,3.207
16568,3.894
21771,2.904
24620,5.981
2081,1.899
2664,1.645
12212,6.187
13528,2.019
14628,2.23
22574,3.044
25872,1.793
1545,7.629
2202,1.995
15206,1.655
17233,2.797
18158,2.243
21317,1.593
24271,2.811
8547,2.198
10791,6.165
10919,2.207
11275,12.649
15600,2.539
15608,4.698
16644,1.54
24568,4.156
25996,3.842
26098,3.93
1059,2.332
6154,6.914
7725,3.642
11125,1.552
13705,1.564
15435,11.027
16039,1.9
17821,1.658
18540,9.077
20536,1.919
23529,3.574
10588,14.013
3916,7.554
4525,4.737
4952,27.263
5352,4.202
5729,2.746
10490,9.514
12101,17.87
13801,42.937
15311,6.47
21754,19.452
23134,20.84
24614,5.605
4493,2.259
14627,3.025
23720,2.023
930,1.711
3946,1.209
4760,1.353
17189,1.779
10463,1.906
10526,1.813
11788,2.034
17746,2.74
18189,1.513
21438,1.504
22611,2.685
26038,4.753
4195,3.382
7069,3.971
9098,3.011
17721,6.463
21723,2.712
24587,1.756
7895,1.506
11863,2.158
12110,3.536
1000,29.317
1149,7.713
1694,36.29
2115,13.188
4575,14.37
5605,10.544
6288,10.826
12016,8.584
12070,12.42
13469,7.137
16101,13.848
18250,3.562
20667,4.223
20716,61.981
23107,16.147
23344,12.168
23939,17.116
25402,11.436
25948,5.893
6963,37.336
8374,5.409
17465,3.963
19865,29.631
3006,11.31
3630,9.877
5901,24.74
5953,17.697
7911,6.671
8730,3.769
10406,5.986
12874,12.447
13177,4.534
16817,9.009
19723,4.049
24885,4.655
13653,1.157
22599,1.641
3265,3.376
3998,1.849
8513,1.351
10501,1.855
13029,1.87
13622,1.548
13682,2.012
16324,3.21
16640,6.632
16749,1.795
26059,1.742
26065,3.029
580,1.969
6431,1.646
1877,5.107
2042,6.174
15880,5.844
16967,5.547
19710,1.824
20014,2.962
23163,2.355
23225,1.902
3683,1.623
3845,1.673
6748,1.947
14664,1.854
16065,1.413
16963,1.342
20650,1.688
3804,4.639
4032,2.261
5194,2.644
23137,2.956
11495,1.743
12842,4.483
495,2.115
2742,2.447
3965,1.967
5622,1.875
7855,2.341
8928,1.622
8968,16.535
9458,3.003
17968,4.034
18375,3.127
8335,12.864
1104,3.368
5427,2.079
13322,10.957
13529,2.079
18619,10.011
18751,9.632
6494,2.439
2526,2.062
6364,2.479
6857,3.437
7853,2.038
14976,2.904
24781,2.203
321,1.438
21853,2.407
884,1.306
5469,1.367
5575,1.397
10183,1.154
10966,2.129
16624,1.413
24699,1.653
14308,5.127
5166,4.531
5597,5.381
9066,6.521
20787,3.263
23836,4.799
25050,3.454
5287,3.103
17273,2.155
9283,38.37
953,4.159
17794,4.477
114,1.726
2348,1.296
6631,1.957
8854,2.527
4290,1.466
8200,1.598
11113,2.166
12302,1.502
21017,1.385
23297,4.169
6355,1.244
7194,1.459
20960,1.227
7542,1.139
15322,1.118
18415,1.466
23066,1.362
3765,2.719
14500,1.267
17918,1.236
3418,2.566
4798,1.919
12866,1.486
20196,1.595
2004,1.085
21191,1.084
21663,1.256
14020,1.791
22203,1.275
1600,1.3
15905,1.115
21635,1.264
16543,2.438
238,1.427
4793,2.223
6218,6.14
15516,1.66
16553,1.776
16563,1.779
16565,2.554
22964,1.432
8442,1.198
10412,1.187
8887,1.08
6072,1.075
491,4.097
1124,9.918
1818,2.076
4552,3.399
5739,1.686
6823,9.647
7882,2.449
13328,2.95
17039,2.137
17082,4.363
22028,1.789
23454,1.591
3681,2.159
7126,1.626
3547,6.992
449,6.452
882,2.675
1405,4.486
1498,2.075
3033,1.836
3048,2.173
3511,2.378
7091,2.432
14707,2.966
17245,4.054
18340,1.816
6804,3.604
12260,1.275
19624,3.332
22826,2.305
25491,1.28
25844,1.346
6184,1.172
19161,2.491
21831,2.231
88,61.061
1995,57.258
2338,58.329
2530,60.02
2535,58.572
4355,56.714
4755,59.802
5210,56.293
6340,59.772
7197,58.251
7635,60.234
8727,58.266
9313,56.722
9656,56.737
9869,58.901
10350,58.388
12507,58.651
12710,58.242
14648,55.784
14766,59.871
15010,59.324
15244,57.86
15245,59.807
15457,56.694
15933,59.661
16654,59.625
17807,59.804
18225,61.773
18453,57.417
18778,59.984
19114,57.687
19446,57.66
19645,60.002
19939,60.471
20346,6.379
20576,59.061
21178,57.479
22504,58.089
23712,57.113
24453,12.662
24718,58.206
12308,2.997
15935,3.148
18276,3.041
18904,5.688
2190,1.795
6172,5.417
8592,2.609
14933,4.086
4249,3.188
21718,2.765
22290,1.92
23441,11.303
24113,1.598
6421,7.101
8224,9.944
11182,4.811
11696,16.084
12286,4.264
23423,3.726
500,3.386
2085,2.106
2568,2.502
3099,2.03
4468,1.924
4631,2.191
9892,2.676
10358,1.998
10458,2.665
10615,3.375
11011,2.744
12074,2.805
13971,1.941
14079,2.391
16754,2.894
18783,1.598
19612,3.264
20552,2.255
20553,1.556
21032,1.964
23355,1.735
24454,2.085
25086,3.466
25180,1.832
25785,3.01
10539,1.553
4254,1.099
9337,1.082
1497,1.476
6724,3.03
16890,1.112
2630,3.76
7563,5.937
14403,8.46
17392,2.099
23503,2.292
2558,9.398
21910,14.773
18910,16.068
2511,5.559
10986,1.733
13318,3.17
14051,3.432
14414,2.889
22119,2.348
1006,3.235
4351,5.382
11372,6.099
16414,39.477
639,5.187
1941,10.169
5227,3.26
7015,2.621
9647,4.109
12852,1.59
15846,14.095
16333,1.833
16347,11.875
4576,4.404
6941,6.519
7206,3.799
7485,7.469
9389,8.492
9426,3.664
10246,4.169
11026,16.027
17953,2.371
18946,3.454
18983,3.434
19013,4.801
23458,4.85
23986,4.102
4697,3.438
3007,1.261
22082,6.041
25537,1.322
5695,13.981
574,4.399
6971,6.125
13282,6.561
15409,3.73
18745,5.718
18758,4.632
21497,5.733
22366,24.243
23714,2.822
1153,1.161
17501,3.21
4183,1.219
6010,1.342
9862,2.887
12370,1.53
16834,1.294
16853,1.716
16899,4.525
21199,1.287
22299,1.51
22309,1.477
22620,3.278
20248,1.187
12679,26.286
573,3.572
1430,1.972
2072,4.628
4966,3.804
19493,6.842
22278,2.091
5769,18.642
10896,1.496
20915,2.192
22848,2.275
1347,4.881
4782,8.673
15582,8.622
17472,9.573
19707,8.792
21930,9.816
24835,10.092
24959,4.629
24009,3.245
283,1.879
1880,1.253
5505,1.476
15959,5.02
15961,1.155
24444,3.092
14316,1.331
14690,2.368
22254,1.107
749,1.187
1373,4.422
3607,1.261
7245,2.725
8031,1.728
15907,1.389
19164,2.135
302,4.128
2335,3.478
6702,3.166
11490,4.867
16108,4.313
17174,2.931
17924,2.796
3999,2.638
8211,2.671
12373,4.321
20059,7.112
2155,11.28
4283,5.167
6408,11.678
7715,3.91
8920,2.8
23256,4.689
2607,3.316
3450,1.942
4588,2.752
5130,2.422
5353,2.02
5835,3.167
9450,2.778
12165,3.048
12722,3.049
20003,2.17
20184,2.214
24640,1.273
4685,1.117
15415,1.108
24152,1.094
8376,1.917
8888,3.004
13067,3.513
4213,1.809
7045,2.866
11892,1.531
20645,1.726
23264,1.798
10600,1.811
13493,1.716
13496,1.46
18788,3.14
18791,1.44
23394,1.762
140,1.986
17304,1.683
18587,2.044
19404,1.71
22462,2.481
24122,1.139
1078,2.947
5164,2.247
9387,2.796
11640,2.188
12545,29.423
13371,6.131
17116,3.036
19741,2.803
22149,2.444
16331,3.051
19184,2.44
17843,4.14
1685,4.833
8134,5.376
12687,11.285
23409,4.343
1321,4.57
4433,4.033
5125,5.283
7625,4.105
10895,7.751
11899,3.645
13711,4.098
16162,6.624
16475,3.821
19167,3.331
19387,17.902
21089,6.641
21727,4.528
23863,4.07
25565,5.441
5060,1.121
20660,1.797
1608,2.41
20030,1.918
11447,3.837
834,1.591
2490,1.78
5570,1.366
15625,1.924
15917,9.005
18140,12.385
18790,7.948
24110,6.064
4466,16.75
8505,8.771
16357,13.503
20116,44.768
20148,18.161
22899,10.893
25710,6.781
4068,25.813
9517,5.265
11400,8.855
11630,7.761
11700,4.488
11733,9.402
11951,5.413
