Node,SIR
24325,109.27
24394,540.176
40517,540.951
58507,155.419
3737,456.372
3905,48.326
7237,106.041
12715,299.954
13648,562.823
13659,221.327
13664,148.94
14304,157.411
14823,369.453
17370,443.965
18956,519.452
19615,564.442
19660,476.787
21669,514.052
23106,265.533
24832,136.495
26021,356.604
26363,129.364
28240,341.788
35376,72.021
35424,493.645
36383,223.543
36860,559.797
37616,282.68
37932,370.939
39984,218.567
41687,449.923
44934,533.782
48192,543.562
51464,297.916
55079,270.325
59077,571.893
59471,514.11
59870,154.24
61742,545.66
61796,310.012
62227,529.952
65346,51.132
66689,321.104
67851,102.396
24897,32.51
30545,133.513
42653,193.208
1182,33.257
3175,145.213
5379,388.547
33426,170.236
34071,425.013
36192,65.876
39688,180.583
63113,583.568
65086,352.339
66829,24.626
68041,176.678
554,521.945
3088,387.825
4503,322.751
4521,306.986
6142,465.355
9117,179.995
11180,395.604
12981,366.316
13769,152.93
20394,502.693
21477,261.325
22916,220.135
24295,438.538
28268,134.374
33726,121.037
40894,512.348
44594,121.602
45385,490.547
46139,471.14
49541,445.517
50970,179.241
53159,219.051
55835,495.793
56948,322.38
57628,94.05
60251,218.98
60797,309.543
67012,322.352
1441,312.897
3306,388.032
15089,59.734
22990,103.129
25318,64.319
25406,16.102
25750,105.611
25902,161.771
28406,129.277
28440,18.951
29941,23.199
33454,407.14
39659,321.849
40187,68.576
42018,83.976
59205,76.221
1444,35.862
4189,22.323
5338,95.315
12698,27.203
14425,31.731
15946,196.992
19172,23.976
22014,81.313
29017,94.3
30982,96.954
34121,127.228
35725,206.13
35863,94.598
40691,44.639
41588,149.438
45556,75.893
52121,48.719
52622,137.496
56995,96.224
57145,30.5
3029,46.724
39076,5.051
57738,413.438
2394,217.687
2470,69.247
6975,380.107
17554,156.388
17702,60.301
18533,365.619
20532,227.239
22552,501.272
27926,274.827
29761,131.439
33137,86.92
34596,270.166
35059,126.445
35280,397.642
47226,125.01
54118,145.484
60926,503.567
61918,81.49
65338,145.759
66820,421.819
66821,134.869
67820,173.787
4070,199.817
17141,147.833
25442,148.04
30291,416.02
37380,84.021
46598,199.221
