Node,SIR
0,1.138
747,3.873
1,4.177
4257,4.53
2194,12.651
580,1.159
6478,13.648
1222,2.901
5735,2.7
7146,1.809
2204,17.733
126,1.905
2639,2.24
2,1.5
562,1.356
1492,1.739
6,2.722
5303,2.556
7128,2.154
4154,1.915
5179,1.097
3,7.553
1728,4.103
4560,6.304
5060,7.67
1351,5.518
6503,6.12
7089,9.578
4319,18.367
6095,12.328
272,1.373
4433,14.5
2900,2.094
3381,26.912
5943,7.483
2107,6.87
6940,7.324
2013,3.465
6046,10.089
5823,15.774
4,1.048
5770,1.702
5,2.955
5454,32.661
5856,1.774
667,4.304
6180,3.274
598,2.237
870,1.836
3079,2.568
1834,2.956
6283,1.597
7340,1.894
7279,2.046
342,1.778
4405,1.096
1462,3.877
1284,1.941
1551,1.739
3291,1.523
167,4.768
7,4.774
177,1.67
6243,1.262
7589,8.69
2854,32.441
6931,37.668
6250,2.141
428,1.212
2142,5.359
8,1.061
1686,1.623
9,1.939
4481,1.062
1795,7.094
2660,1.312
6053,1.053
246,1.233
3843,1.44
6441,5.568
366,1.459
10,1.115
5489,4.852
11,3.512
5240,1.759
618,4.487
2412,18.399
1325,8.858
4919,33.211
12,3.261
5274,35.678
3807,8.99
13,30.098
1794,15.85
3971,11.161
1223,36.377
6152,9.254
5385,2.778
1509,43.75
524,59.79
4770,21.944
1937,59.394
7315,16.07
1817,31.457
6298,23.933
2266,20.311
3557,32.065
5857,53.887
866,33.049
2789,3.91
3559,19.272
4904,37.854
6565,16.9
5355,34.745
620,2.23
110,51.057
2835,43.101
3316,10.81
6712,47.867
1850,30.231
4860,37.424
4606,28.241
14,1.608
5862,7.983
2155,4.366
6438,4.427
3086,3.273
15,6.033
3530,47.152
7580,6.608
3029,1.699
4375,3.881
16,31.33
7296,13.134
2626,25.157
131,22.255
6323,36.583
1799,29.504
3103,51.879
5578,48.673
7435,27.258
1677,46.146
5072,6.355
4008,17.577
3410,29.872
6446,47.309
4184,4.407
5725,36.562
1349,34.636
5088,2.564
6544,33.976
2530,5.635
1956,22.782
38,6.388
550,31.648
6567,22.788
4968,7.827
1005,49.081
6126,28.635
1905,24.694
3699,6.378
773,2.03
1016,11.484
2751,22.284
3324,10.041
766,23.507
6101,52.173
17,27.129
6105,105.649
4242,38.592
7237,135.993
1334,112.772
951,108.983
1337,18.922
3165,86.581
18,6.995
6372,1.622
4042,7.302
3596,9.106
7185,1.634
5139,6.066
615,5.489
2788,2.995
3163,8.315
5534,19.481
6816,1.354
6436,7.116
421,7.388
4775,5.524
1384,12.488
3755,14.744
3820,3.772
4212,6.793
478,2.703
6136,8.959
6399,3.316
3581,2.669
7614,1.808
4085,5.186
19,1.273
2625,1.099
2692,1.135
1501,1.469
6703,1.748
20,3.898
2689,1.193
1316,34.923
5941,2.403
4151,18.245
4462,2.203
6463,10.64
21,1.147
3026,1.464
5764,3.349
22,2.662
5127,44.442
23,2.421
4248,15.184
7317,2.568
1854,3.643
646,3.748
3493,1.891
24,1.084
3643,1.979
25,8.385
3544,113.672
26,1.049
5345,1.486
27,4.376
4066,1.287
6339,27.068
1558,8.645
1896,2.532
4329,13.716
