Node,SIR
0,1.585
1,1.746
1084,1.609
946,1.329
2,2.427
3,2.407
4,2.497
5,2.474
6,2.422
7,2.356
8,1.467
9,2.656
10,2.223
11,2.289
1424,1.74
1425,1.817
1532,1.526
12,3.397
13,2.374
14,2.334
15,2.342
1047,2.668
1048,2.657
1049,2.746
1050,2.76
16,1.506
17,1.502
18,1.534
20,1.538
21,1.496
22,1.534
23,2.016
24,2.727
25,2.687
201,2.544
202,2.503
369,1.968
27,1.515
28,1.512
29,1.548
30,28.721
31,8.205
32,8.017
33,37.372
34,38.104
54,35.872
131,19.991
327,16.68
402,16.931
840,26.093
894,12.771
51,24.396
52,22.401
53,32.942
132,32.532
133,31.007
134,31.22
190,14.516
375,16.082
376,16.385
377,16.308
464,9.305
485,9.732
488,16.976
489,16.061
507,14.217
508,13.429
509,15.521
561,30.521
562,30.828
839,19.585
1008,13.747
1190,23.947
1191,24.491
1228,21.22
1229,22.249
1295,15.027
1529,14.943
1550,22.645
1551,17.904
652,21.781
654,25.165
655,21.362
657,21.273
756,28.17
760,13.896
761,25.269
762,18.769
763,19.239
865,12.825
1130,17.624
35,3.097
36,3.131
37,2.999
38,3.059
39,3.18
40,3.13
42,1.226
43,1.213
44,3.967
45,5.588
46,11.104
609,3.104
610,2.467
611,2.895
612,3.071
78,22.982
191,5.604
192,4.674
193,5.195
194,6.729
428,5.058
596,9.232
1361,4.891
1362,4.415
1363,3.879
47,4.352
48,9.559
49,3.939
50,4.22
216,18.828
217,11.442
218,14.336
55,17.358
56,18.112
57,7.446
58,8.072
1024,9.501
1025,9.862
1315,13.227
1468,12.993
1469,14.85
1470,13.38
90,4.572
184,9.308
547,10.118
893,17.629
934,7.344
1461,7.717
685,2.697
59,1.535
60,1.545
61,1.583
62,13.64
63,10.625
64,7.521
65,6.71
362,10.903
805,10.997
806,11.613
807,11.488
808,9.198
1016,7.975
1070,10.716
1071,11.878
1072,10.899
1073,10.543
1562,10.004
1563,10.054
1564,9.899
1565,9.817
1566,9.996
1567,10.287
795,4.358
796,4.194
797,4.021
798,4.185
66,1.505
67,1.531
68,1.52
69,16.472
70,9.527
71,15.508
72,15.012
97,15.875
310,6.938
709,12.776
710,9.28
757,14.309
758,13.75
977,10.753
1082,4.952
1083,5.207
149,12.955
150,22.575
151,20.567
157,5.459
158,5.57
736,5.286
737,5.822
235,4.84
443,5.992
738,5.332
73,2.476
74,2.572
75,2.427
76,3.597
522,5.466
1381,2.689
1588,2.748
77,8.427
79,8.179
80,8.167
121,14.741
281,16.452
