Node,SIR
0,167.03
1,213.114
2,150.027
3,103.559
4,97.697
5,106.816
6,138.645
7,194.831
8,186.231
9,100.204
10,62.033
11,120.571
12,221.697
13,281.103
14,179.308
15,147.002
16,169.472
17,133.521
18,106.826
19,135.477
20,114.564
21,243.333
22,144.788
23,137.117
24,152.139
25,200.307
26,83.612
27,137.222
28,232.134
29,252.49
30,247.498
31,178.034
32,110.96
33,198.049
34,283.83
35,137.644
36,248.316
37,199.287
38,88.957
39,201.511
40,277.406
41,268.926
42,82.601
43,147.986
44,133.947
45,237.844
46,241.949
47,30.236
48,107.513
49,251.893
50,245.95
51,153.663
52,121.456
53,133.878
54,227.821
55,135.817
56,252.596
57,104.155
58,225.815
59,210.672
60,164.802
61,90.346
62,240.274
63,220.846
64,229.642
65,251.235
66,202.14
67,243.89
68,52.116
69,247.441
70,79.048
71,95.598
72,242.514
73,236.699
74,268.177
75,257.74
76,132.495
77,37.87
78,71.304
79,247.393
80,63.244
81,130.361
82,133.667
83,151.138
84,131.35
85,123.086
86,255.382
87,256.724
88,124.406
89,241.176
90,149.064
91,212.111
92,38.837
93,238.809
94,222.906
95,261.249
96,48.262
97,192.038
98,99.444
99,12.23
100,10.66
101,15.22
102,17.979
103,14.005
104,14.842
105,28.784
106,51.191
107,95.796
108,155.219
109,213.332
110,82.143
111,164.985
112,225.074
113,95.791
114,133.071
115,255.79
116,206.703
117,237.638
118,242.662
119,192.109
120,105.277
121,147.258
122,45.425
123,115.511
124,93.223
125,188.93
126,110.42
127,234.971
128,70.659
129,185.986
130,129.768
131,140.316
132,158.53
133,168.829
134,169.319
135,149.579
136,208.831
137,107.969
138,75.691
139,147.844
140,111.077
141,141.765
142,184.311
143,74.307
144,216.396
145,283.351
146,139.585
147,142.136
148,165.147
149,52.76
150,200.736
151,158.494
152,171.468
153,175.741
154,174.891
155,142.641
156,197.549
157,121.492
158,63.064
159,34.581
160,27.778
161,173.42
162,251.279
163,84.432
164,26.546
165,166.293
166,213.426
167,158.68
168,86.698
169,142.335
170,171.118
171,26.338
172,172.109
173,188.099
174,98.51
175,176.522
176,158.232
177,158.472
178,155.978
179,97.787
180,49.237
181,195.639
182,45.088
183,189.876
184,192.232
185,215.332
186,162.204
187,151.453
188,88.034
189,11.889
190,232.11
191,77.88
192,18.893
193,142.122
194,86.028
195,175.19
196,62.236
197,103.663
198,137.58
199,59.75
200,137.866
201,175.42
202,62.17
203,73.174
204,125.03
205,102.636
206,181.394
207,108.357
208,160.118
209,127.984
210,271.747
211,139.463
212,115.066
213,37.465
214,149.05
215,106.573
216,71.749
217,102.609
218,213.367
219,167.854
220,38.463
221,160.664
222,23.749
223,42.902
224,175.727
225,136.144
226,21.091
227,51.922
228,54.997
229,72.247
230,23.453
231,10.952
232,31.828
233,16.786
234,21.184
235,26.77
236,31.985
237,11.605
238,5.573
239,24.248
240,15.202
241,23.128
242,31.405
243,14.419
244,24.087
245,17.844
246,29.609
247,56.18
248,116.94
249,27.902
250,92.707
251,59.563
252,84.731
253,49.358
254,94.072
255,77.101
256,102.307
257,157.378
258,136.646
259,100.556
260,149.125
261,25.529
262,21.514
263,105.095
264,107.715
265,38.823
266,100.276
267,24.304
268,22.292
269,114.739
270,9.234
271,118.585
272,35.023
273,119.694
274,83.08
275,32.757
276,9.734
277,107.215
278,9.996
279,25.222
280,88.354
281,10.321
282,12.549
283,149.712
284,23.398
285,30.859
286,110.824
287,112.802
288,101.527
289,96.246
290,75.549
291,18.165
292,140.407
293,109.621
294,131.245
295,50.958
296,157.628
297,97.676
298,79.738
299,88.149
300,26.78
301,48.068
302,70.021
303,73.382
304,12.799
305,15.041
306,37.252
307,110.857
308,21.457
309,29.118
310,19.921
311,71.343
312,28.137
313,14.328
314,20.364
315,46.322
316,52.742
317,38.593
318,36.128
319,47.894
320,16.803
321,56.579
322,27.69
2483,83.21
3197,23.893
1311,239.499
3387,2.125
3538,6.511
3070,5.043
2347,22.373
3541,6.384
2857,9.583
2871,10.193
3392,3.549
3071,10.885
3470,10.779
3543,8.142
2998,4.663
3201,28.401
356,42.47
410,122.204
3743,17.852
3199,37.199
3744,26.551
3185,53.884
3098,57.339
3194,26.393
3203,8.666
463,71.246
1278,221.091
882,30.538
1078,14.191
2053,25.635
1550,22.793
1587,41.157
1333,82.769
2057,22.034
2058,22.634
2062,23.47
438,93.871
1534,29.41
2066,330.148
2067,19.682
2071,33.828
2271,17.326
2887,25.27
2888,19.732
2889,28.604
2896,9.726
2943,7.72
2854,24.154
849,67.58
3362,9.146
1820,66.251
1518,18.852
1668,46.29
3417,7.044
3418,11.833
3419,13.333
1502,76.957
1650,11.943
3371,13.89
1062,21.199
3420,8.055
3421,9.538
2786,13.343
3422,9.871
2774,10.412
3423,8.086
1364,111.507
1651,7.339
1521,12.435
1522,16.685
3424,8.934
2101,34.932
3425,8.206
1430,33.675
2794,12.191
3426,9.558
3427,9.083
3428,10.216
3429,19.703
2490,10.167
3430,22.118
3431,15.364
3432,11.453
3433,11.859
3434,11.528
3435,8.017
3436,10.488
3437,12.567
3438,8.629
3439,10.03
2111,276.39
732,9.56
1654,10.579
2115,36.933
3440,10.78
3348,8.456
595,42.44
3441,13.98
3442,14.168
3443,7.207
3444,7.777
3445,7.92
3446,8.449
2132,321.895
3447,12.133
3448,9.511
1996,18.4
3399,12.782
1332,320.468
1484,100.091
893,16.944
3449,9.557
3450,8.619
3239,9.574
1970,19.574
597,78.466
3451,11.604
3452,9.316
3453,10.878
3454,11.513
2779,8.118
3455,15.451
3456,9.409
3457,10.762
3458,6.27
3459,11.52
3460,5.42
3461,6.989
2158,287.683
3462,14.44
3463,12.747
3464,15.529
2329,27.498
3465,90.218
3466,20.371
3467,8.059
3468,13.761
1556,26.849
1079,13.561
3469,9.616
1400,90.297
2338,21.612
3471,8.775
3472,11.821
1903,13.132
3473,15.39
3474,16.312
1562,27.023
3475,8.271
2791,8.571
3476,11.114
3477,8.726
3478,19.083
3479,12.188
3480,14.388
3481,11.69
3482,11.137
3483,6.705
1405,347.984
1582,31.446
1406,343.895
2007,14.04
3484,7.416
3485,9.399
3486,8.728
3487,11.051
2787,7.97
3488,7.354
3489,9.31
3490,9.497
3491,12.506
3492,10.671
3493,15.295
3494,8.686
3495,12.74
3117,11.987
3496,12.468
769,12.255
3497,10.308
3498,7.268
3385,8.996
2316,14.169
3499,6.154
3500,11.565
3501,8.453
1577,44.607
3502,8.405
3503,12.762
3504,9.239
3505,9.911
3506,12.958
3507,8.354
3508,18.422
1571,27.054
3509,8.244
2206,340.471
3510,11.575
3511,10.322
3512,10.294
3513,9.534
3016,14.553
2287,21.814
3514,9.347
3515,8.0
3516,8.909
1465,24.891
3517,12.608
765,12.658
2590,10.339
3518,15.501
3519,10.129
3520,9.843
2484,138.826
2784,14.273
3521,11.43
3143,9.374
3522,8.089
3523,13.656
3524,13.906
3525,9.601
3526,9.434
2499,11.263
2276,80.571
3527,6.21
3528,9.511
2482,142.614
3191,125.561
3555,92.837
3190,153.192
3569,55.476
3196,80.433
3187,97.869
3560,64.198
985,46.166
1436,40.18
1950,7.347
1835,4.362
3765,4.815
1966,11.377
3766,5.747
3533,9.276
1596,149.356
2783,4.693
3767,5.666
3768,3.908
2322,14.675
2160,182.481
1674,7.161
3769,6.023
3770,13.898
3771,4.465
2332,16.022
2772,7.696
3772,4.806
841,9.365
3773,5.843
3774,6.531
1036,106.41
2928,5.086
3775,3.853
3776,7.516
2537,12.724
3554,49.987
3192,136.124
2439,67.469
2639,150.027
3195,118.333
3571,27.211
3557,45.646
3558,97.765
3572,25.823
3559,41.031
3268,114.012
3563,20.431
3193,47.102
393,116.201
3562,81.592
3188,114.033
3369,34.8
421,139.629
3556,11.532
3745,7.666
3746,9.722
2637,22.366
3095,36.85
456,48.301
3186,25.282
3099,12.203
2367,23.753
379,72.105
864,122.671
3305,130.863
869,134.945
658,139.766
3308,139.846
3309,135.887
863,134.554
4828,84.347
870,140.527
3310,127.141
4815,93.905
4814,53.826
464,123.07
411,169.352
4155,53.464
4854,59.758
656,109.84
4057,66.504
4817,63.713
4826,68.091
860,112.783
650,76.195
3302,85.449
651,81.171
4812,69.214
861,88.358
4054,77.396
4861,69.13
862,90.779
652,104.657
653,80.691
654,86.712
655,65.484
4864,71.155
4816,73.46
4818,44.04
660,69.242
4830,99.322
4879,34.521
3304,75.594
668,92.013
4866,72.438
657,70.804
4780,55.677
4877,35.184
4858,60.176
4880,23.812
4819,91.589
4821,73.726
661,76.845
662,75.305
3303,64.484
663,91.062
588,39.377
4220,112.469
4857,71.798
4073,64.318
664,122.529
666,94.218
3307,129.009
1209,7.282
4841,37.041
4838,67.674
665,116.925
4842,81.698
4837,65.343
4856,40.588
4820,119.069
4860,71.408
4264,34.679
4878,41.404
4551,65.568
4822,78.8
4777,63.547
2122,104.016
4084,85.34
4077,83.02
4778,72.618
868,129.145
4823,77.347
4088,87.278
667,64.725
4874,64.644
3311,115.516
4089,91.321
4859,70.061
4882,19.026
4875,69.445
4855,31.075
4811,54.532
4813,31.166
4862,16.485
4863,28.325
872,89.573
4867,16.004
4868,23.018
4834,72.134
4865,15.278
854,56.24
874,93.179
4870,18.85
4871,16.672
4872,19.684
3731,26.243
4873,15.085
1982,18.026
4076,65.363
3189,21.463
822,9.021
611,19.146
4099,8.05
504,49.279
4129,8.321
4876,43.18
4835,28.472
4883,18.382
4884,4.268
880,17.464
4869,5.775
762,9.803
3091,29.238
424,45.451
824,58.427
4061,52.553
4825,62.602
4827,52.437
865,77.061
871,68.288
365,101.654
3297,55.23
392,135.818
3293,32.854
447,52.019
3561,143.357
1869,20.35
1921,17.13
1924,17.408
1874,13.078
1888,16.566
1901,18.349
3109,6.405
3113,8.013
1929,8.354
3118,3.547
3958,2.203
1919,11.136
437,26.07
3964,2.13
1920,14.878
3965,3.744
3959,5.309
1895,4.66
3960,1.844
1887,10.343
1906,6.123
845,11.229
2247,4.606
1871,15.165
1872,7.746
1880,14.09
1893,8.47
1878,12.324
1913,14.015
1911,12.767
1933,11.409
1881,11.472
1897,10.279
1916,15.421
3114,7.419
1907,14.018
3121,5.001
3122,3.004
1894,10.622
3123,2.354
1930,7.174
1900,18.406
1889,10.44
3124,3.546
1899,10.452
3119,3.373
3116,3.45
1932,30.144
1925,11.554
1902,9.019
1892,11.334
1890,12.477
1912,10.336
1870,11.682
819,5.692
1873,6.372
3108,3.516
1882,6.143
1883,6.27
1885,10.966
1886,4.24
3110,3.21
3111,2.149
426,12.928
3112,4.382
1904,12.505
1905,8.519
3115,2.049
1908,8.39
1910,7.862
1917,7.185
3120,5.142
1918,9.226
1927,7.75
1928,4.841
2566,3.63
2568,12.163
815,23.952
1733,22.527
2592,7.204
1868,2.788
1524,83.915
1884,5.794
1931,5.778
1926,8.57
440,52.759
3301,41.888
3094,23.543
3087,38.851
358,163.388
3198,25.355
986,57.351
3747,17.042
3748,11.289
3749,14.408
3090,20.904
3079,13.799
3088,25.227
3080,28.251
3089,24.675
4342,11.543
4343,18.628
4344,5.91
4345,15.734
4346,12.471
4347,4.782
4348,16.588
4349,21.001
4350,23.907
4351,12.456
4352,15.08
3078,17.065
3084,20.726
3085,28.326
3081,10.665
3086,10.339
3083,38.045
3092,21.685
3082,27.864
3097,5.737
2093,162.006
2096,333.409
2097,219.857
2399,160.547
2404,347.989
2116,261.532
2407,333.583
2119,220.343
2120,347.768
2184,355.587
2233,210.635
3565,96.968
2196,303.57
2151,99.775
3566,91.864
2211,332.9
3208,34.135
2388,262.951
3567,250.709
2179,274.167
2127,325.265
2180,334.698
2156,222.711
2220,265.996
2210,286.998
2192,230.376
2431,274.479
2218,321.452
1350,316.647
2436,349.482
3568,164.059
2216,330.681
2197,350.556
2421,273.35
3339,177.24
2169,352.041
1413,356.126
2638,23.744
362,58.598
394,27.287
3653,95.981
4353,47.591
3597,96.659
4354,68.265
2229,222.409
2149,314.242
2137,293.176
2128,133.638
1251,48.976
2224,205.161
3908,98.877
4355,50.772
3910,93.666
4356,87.378
1274,77.046
1276,167.022
1277,38.461
1279,165.017
1280,87.266
1282,84.236
1284,99.753
1287,132.321
1313,73.291
1362,48.744
1503,17.781
1301,188.956
1519,40.75
1314,137.352
1443,40.342
1520,39.577
1365,35.624
1367,38.584
1523,38.128
1525,10.22
1444,113.083
1526,52.341
1527,15.739
1368,113.265
1369,60.898
1316,162.692
1432,28.642
1528,32.462
1371,33.875
1529,31.219
1470,41.186
1359,15.836
1317,57.885
1372,100.852
1530,59.178
1531,22.596
1532,57.301
1533,10.273
1329,25.605
1374,91.531
1375,103.113
1535,315.164
1536,34.29
1351,44.335
1537,9.842
1538,43.087
1539,17.37
1540,48.463
1378,73.979
1293,161.603
1379,77.234
1460,67.586
1541,25.928
1380,94.033
1381,80.371
1542,63.099
1303,240.427
1384,31.768
1543,14.36
1340,80.923
1341,127.223
1385,17.833
1513,125.525
1290,60.779
1544,30.075
1471,36.493
1388,92.562
1324,59.663
1389,33.281
1515,84.26
1437,76.076
1320,52.206
1545,73.944
1546,38.016
1547,38.441
1323,92.598
1391,52.122
1548,12.027
1549,40.34
1392,123.968
1452,52.996
1330,145.504
1551,73.677
1552,30.997
1395,104.895
1507,45.793
1322,72.437
1396,24.576
1397,56.833
1553,54.347
1554,24.864
1555,22.303
1398,106.522
1304,37.269
1557,33.61
1558,41.71
1559,69.341
1342,65.842
1344,82.418
1349,133.011
1358,80.29
1560,10.165
1561,28.932
1563,68.354
1305,104.732
1319,110.241
1505,103.128
1448,58.692
1417,109.26
1408,71.451
1425,76.348
1339,91.524
1564,10.058
1565,60.245
1566,38.129
1567,37.382
1568,12.327
1321,180.366
1516,92.504
1353,27.547
1427,37.718
1569,32.24
1570,40.728
1442,49.308
1424,35.884
1572,45.511
1306,178.881
1336,45.301
1420,74.917
1573,47.444
1343,140.051
1288,87.003
1415,40.581
1574,45.752
1575,25.878
1297,70.813
1327,61.704
1495,161.409
1422,67.154
1473,73.421
1576,34.988
1337,186.439
1338,94.282
1578,12.71
1354,136.595
1428,108.951
1309,47.106
1356,125.037
1579,14.518
1426,80.013
1347,53.122
1348,91.235
1412,34.404
1580,33.26
1581,20.36
1294,110.769
1419,26.196
1352,24.241
1583,33.972
1584,11.539
1308,109.869
1585,25.051
1586,58.912
1409,71.471
1514,69.251
1588,14.577
1589,33.703
1590,9.444
1421,36.559
1511,84.156
1591,65.104
1312,21.755
1592,36.535
1593,50.81
1346,125.085
1594,13.573
1595,29.937
1296,88.57
1357,30.062
2541,47.529
3202,12.429
3096,8.061
3570,5.599
3093,9.982
4357,87.745
4358,7.461
4359,11.379
4360,17.428
4257,8.221
4361,3.799
4362,11.55
3106,12.462
4363,13.149
4364,15.552
4769,1.455
4770,1.227
4771,1.95
4772,1.43
4773,1.584
4774,1.691
1141,24.787
3360,6.445
4030,4.616
3368,6.264
4050,4.253
4051,2.24
4052,7.055
4053,2.558
4033,8.289
4055,3.502
4056,5.184
4058,3.783
1458,8.638
4059,4.289
4060,4.418
4036,6.066
4037,4.714
4062,3.43
1656,4.298
4038,5.844
4063,43.467
4064,4.29
4065,4.674
4039,4.587
4066,4.983
4067,3.285
4040,4.432
4068,4.549
2446,4.721
4069,3.048
4070,3.651
4071,5.416
4072,4.683
4074,15.287
4075,3.946
4046,3.95
4078,4.439
4032,4.81
4079,3.102
4080,3.365
4081,2.648
2504,4.532
4048,4.838
4082,2.734
3367,8.682
4042,6.537
4041,3.936
4043,6.232
4083,2.676
976,3.955
4085,2.719
4086,4.488
4049,4.327
4087,4.637
4044,3.9
4090,3.998
381,132.254
414,177.97
431,35.916
3266,58.705
448,34.667
3281,30.393
422,123.916
408,133.459
3282,32.746
416,129.122
3276,32.371
385,155.985
395,126.535
363,144.912
3283,38.375
435,35.373
409,63.78
3284,36.353
376,78.04
361,120.524
3289,33.699
3298,23.11
366,40.722
369,78.248
3287,36.511
3294,22.12
3295,35.885
3299,34.157
401,41.144
3313,14.537
405,61.687
3285,41.377
3288,27.262
3323,21.169
3292,25.047
3290,28.757
3325,12.425
2477,14.952
3286,38.276
323,40.981
328,100.323
329,38.011
332,39.754
333,40.874
423,60.036
360,110.7
432,28.393
433,41.941
434,84.436
436,43.942
375,90.079
388,102.783
389,95.125
335,80.845
377,129.493
347,35.862
373,35.832
396,94.56
439,96.402
351,9.762
397,80.192
378,98.21
441,55.718
442,47.513
402,53.488
443,115.638
444,52.376
445,101.968
446,117.76
370,139.236
412,146.319
449,43.889
450,102.351
451,10.895
417,70.736
452,59.923
419,60.623
420,137.133
3291,23.265
342,27.769
3296,17.075
3300,10.75
326,36.439
3279,14.124
374,70.641
3270,108.676
3312,14.071
3040,13.127
3314,9.346
3315,15.797
3316,5.611
324,31.419
339,73.726
368,48.363
372,25.471
407,47.662
364,92.919
340,33.001
413,104.268
404,61.638
406,112.665
3274,41.936
400,42.867
3280,11.33
1953,6.172
430,16.856
357,110.831
380,23.743
398,138.833
325,18.928
331,29.988
390,52.913
341,20.924
391,29.178
344,20.94
3273,9.968
418,31.412
3263,120.704
2052,338.612
2063,281.175
2098,213.957
3326,221.313
3327,216.993
2397,208.743
2107,337.083
1479,328.596
3328,93.742
2117,300.603
3329,196.349
2121,129.263
2123,308.083
2135,231.201
2191,183.617
2140,286.854
1438,260.73
3330,200.86
1462,237.493
2417,236.713
3331,129.192
3332,68.011
2138,309.137
2141,192.53
3333,148.244
3334,180.635
2418,268.021
3335,90.293
2426,190.054
382,83.075
3336,179.067
3337,52.554
2387,131.702
3338,203.46
2381,111.293
2433,240.154
2217,172.135
2419,135.305
2437,217.035
425,30.597
3277,30.61
2076,33.555
349,6.791
3340,81.317
2065,13.09
2068,11.98
3819,8.028
3911,7.231
327,26.333
359,149.249
367,7.173
371,13.878
383,16.8
384,27.054
386,39.326
387,16.261
334,34.893
399,29.076
403,90.488
415,60.053
3265,73.595
3267,79.461
3275,56.54
3261,54.555
3262,61.109
3264,72.897
353,20.888
427,11.043
3269,53.699
1200,10.161
1272,7.088
3271,16.482
3272,12.918
1601,92.946
2885,1.857
3341,32.5
330,15.454
2636,8.8
3403,8.262
3414,18.989
3003,5.443
3066,5.796
2991,8.52
3046,25.295
3396,12.422
3408,9.728
3412,8.106
2847,8.128
2077,57.476
3394,7.766
3402,5.447
3547,3.003
3401,8.57
3395,4.764
3398,4.978
2237,3.969
3393,9.804
2261,20.078
3752,3.141
2956,13.409
2957,15.92
2858,20.002
2859,16.384
2839,15.897
2846,15.877
3067,8.484
5249,1.26
3532,2.762
5250,2.156
3540,5.234
1326,102.441
3149,5.047
1076,26.217
4390,21.625
2344,37.177
1699,55.025
3153,7.298
4584,4.367
2879,4.571
4585,2.918
2167,51.052
2083,57.756
2246,21.431
3718,5.576
3182,3.783
2205,29.945
2084,32.041
4586,3.818
1038,17.592
3755,5.319
2869,6.304
3550,2.691
5315,1.056
2838,15.134
2824,18.247
2825,6.665
3415,2.796
3404,6.792
3405,5.328
