Node,SIR
1,243.195
2,226.252
3,239.339
4,201.884
5,1.0
6,256.832
7,154.843
8,130.351
9,1.0
10,237.044
11,1.378
12,1.0
13,1.0
14,164.497
15,51.575
16,147.587
17,1.0
18,87.232
19,1.0
20,149.687
21,126.788
22,65.791
23,93.086
24,206.19
25,12.033
26,1.0
27,196.449
28,1.0
29,1.0
30,1.0
31,19.853
32,38.552
33,107.844
34,256.707
35,54.289
36,1.0
37,63.663
38,1.0
39,1.0
40,1.0
41,63.557
42,1.0
43,247.533
44,272.399
45,92.761
46,252.364
47,262.018
48,96.337
49,238.617
50,181.397
51,255.455
52,267.608
53,152.0
54,249.234
55,3.41
56,5.775
57,3.436
58,3.379
59,2.416
60,1.372
61,1.0
62,209.764
63,239.23
64,59.122
65,168.494
66,217.898
67,130.037
68,269.767
69,1.0
70,111.256
71,165.277
72,221.919
73,213.696
74,87.195
75,211.996
76,61.948
77,219.898
78,61.377
79,158.313
80,1.0
81,69.017
82,232.378
83,170.004
84,1.577
85,1.374
86,85.349
87,103.976
88,91.52
89,264.748
90,91.853
91,239.371
92,1.0
93,153.464
94,177.873
95,111.165
96,162.401
97,1.0
98,114.833
99,1.0
100,202.139
101,176.042
102,259.135
103,199.316
104,211.257
105,14.526
106,151.675
107,1.648
108,198.801
109,238.649
110,259.475
111,109.868
112,1.0
113,267.213
114,199.812
115,1.0
116,262.15
117,47.405
118,126.279
119,151.909
120,239.449
121,173.78
122,149.597
123,1.0
124,246.271
125,218.587
126,171.36
127,11.363
128,9.501
129,8.741
130,1.0
131,1.72
132,207.241
133,154.637
134,227.34
135,211.676
136,169.769
137,234.886
138,1.0
139,174.777
140,1.0
141,152.836
142,46.409
143,110.242
144,220.861
145,232.647
146,193.773
147,1.371
148,226.812
149,134.413
150,96.246
151,154.238
152,74.693
153,25.59
154,106.682
155,85.547
156,107.136
157,175.761
158,119.489
159,1.494
160,1.386
161,212.457
162,1.8
163,15.42
164,1.0
165,135.34
166,51.309
167,115.607
168,82.771
169,6.252
170,92.911
171,228.745
172,123.379
173,80.579
174,61.822
175,1.0
176,182.38
177,18.79
178,42.37
179,124.181
180,1.406
181,33.736
182,84.777
183,1.54
184,1.389
185,26.574
186,103.19
187,252.896
188,161.09
189,38.819
190,95.234
191,135.996
192,42.455
193,95.181
194,75.341
195,195.875
196,1.0
197,10.966
198,25.321
199,69.099
200,91.97
201,200.259
202,84.541
203,10.115
204,17.394
205,47.234
206,124.818
207,90.082
208,133.737
209,106.85
210,36.18
211,44.003
212,118.482
213,79.43
214,53.835
215,1.0
216,40.611
217,35.006
218,67.321
219,1.0
220,74.853
221,89.056
222,1.0
223,12.54
224,34.653
225,2.231
226,3.271
227,1.0
228,1.0
229,7.366
230,14.968
231,1.364
232,1.0
233,1.0
234,6.259
235,11.835
236,1.387
237,1.0
238,38.554
239,1.0
240,13.299
241,33.71
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,72.08
251,5.252
252,9.745
253,32.355
254,5.535
255,1.0
256,1.0
257,26.834
258,30.036
259,54.885
260,16.544
261,40.194
262,14.679
263,117.58
264,17.612
265,1.0
266,218.897
267,1.0
268,11.738
269,31.329
270,75.701
271,1.372
272,194.976
273,150.984
274,41.764
275,1.744
276,97.761
277,1.376
278,6.635
279,12.889
280,35.97
281,83.038
282,1.513
283,1.398
284,80.858
285,1.381
286,55.477
287,107.992
288,48.341
289,189.702
290,1.0
291,128.335
292,48.787
293,45.303
294,1.0
295,70.522
296,2.049
297,2.46
298,110.796
299,147.707
300,105.536
301,10.824
302,34.896
303,76.512
304,21.768
305,19.598
306,49.875
307,48.561
308,127.712
309,9.042
310,19.987
311,48.639
312,141.842
313,56.667
314,115.746
315,60.787
316,3.151
317,1.0
318,22.302
319,54.299
320,97.965
321,73.107
322,30.619
323,84.389
324,25.29
325,1.363
326,1.0
327,1.8
328,2.036
329,35.637
330,5.017
331,1.392
332,1.0
333,4.384
334,2.136
335,2.04
336,21.077
337,27.762
338,63.141
339,37.257
340,92.361
341,1.382
342,39.098
343,91.843
344,34.325
345,91.735
346,9.632
347,1.565
348,1.385
349,1.0
350,51.439
351,2.943
352,3.383
353,14.308
354,1.973
355,1.525
356,1.374
357,37.957
358,106.864
359,1.991
360,1.396
361,76.928
362,40.523
363,1.4
364,1.0
365,46.007
366,2.193
367,1.747
368,1.0
369,1.371
370,1.0
371,1.0
372,20.141
373,1.391
374,2.459
375,1.738
376,1.0
377,49.796
378,6.866
379,2.056
380,1.0
381,1.367
382,1.0
383,30.398
384,1.379
385,50.846
386,122.805
387,96.7
388,23.912
389,1.0
390,9.384
391,19.442
392,20.8
393,27.641
394,2.233
395,1.517
396,94.008
397,132.665
398,60.745
399,17.121
400,45.916
401,149.961
402,51.523
403,40.944
404,26.105
405,79.117
406,120.335
407,25.411
408,64.235
409,27.424
410,53.525
411,136.113
412,150.5
413,1.604
414,1.613
415,1.616
416,1.549
417,1.375
418,1.0
419,1.0
420,88.505
421,1.55
422,90.626
423,97.622
424,214.718
425,159.862
426,1.0
427,94.201
428,84.025
429,1.0
430,60.163
431,101.063
432,16.85
433,37.204
434,1.373
435,246.523
436,190.786
437,34.065
438,1.496
439,1.382
440,29.585
441,26.027
442,21.888
443,1.524
444,19.487
445,37.226
446,15.252
447,2.192
448,16.978
449,11.819
450,16.508
451,1.506
452,1.526
453,1.362
454,108.683
455,3.105
456,3.468
457,3.828
458,9.252
459,22.09
460,76.917
461,1.561
462,2.821
463,1.506
464,1.372
465,1.0
466,3.307
467,2.934
468,1.0
469,1.0
470,179.033
471,22.68
472,1.379
473,6.131
474,93.636
475,5.584
476,11.093
477,44.134
478,32.91
479,103.257
480,35.391
481,1.0
482,95.757
483,36.155
484,1.65
485,1.829
486,2.08
487,1.385
488,42.536
489,115.02
490,41.333
491,99.306
492,1.0
493,87.994
494,79.517
495,1.364
496,79.54
497,117.754
498,2.068
499,2.626
500,2.03
501,1.365
502,40.21
503,1.0
504,4.087
505,1.0
506,1.374
507,2.34
508,1.508
509,53.175
510,43.188
511,1.762
512,1.0
513,1.867
514,2.076
515,1.391
516,1.0
517,1.378
518,1.833
519,2.176
520,1.374
521,26.471
522,33.01
523,79.556
524,1.0
525,106.053
526,93.384
527,58.546
528,100.041
529,58.698
530,35.965
531,36.725
532,54.583
533,49.244
534,1.0
535,78.519
536,104.395
537,215.466
538,93.751
539,1.545
540,1.404
541,1.0
542,83.127
543,68.498
544,183.521
545,11.937
546,30.884
547,19.867
548,66.766
549,2.144
550,1.0
551,87.564
552,100.674
553,63.259
554,76.541
555,38.759
556,15.58
557,29.503
558,98.591
559,84.972
560,1.373
561,34.655
562,20.886
563,3.023
564,2.567
565,4.995
566,1.541
567,1.565
568,1.0
569,1.0
570,6.885
571,86.821
572,70.853
573,39.341
574,96.695
575,1.395
576,1.0
577,172.17
578,107.973
579,95.761
580,1.0
581,1.0
582,102.523
583,8.189
584,1.725
585,1.812
586,2.271
587,2.217
588,2.415
589,3.89
590,7.301
591,20.484
592,1.481
593,1.399
594,1.0
