Node,SIR
0,2625.594
1,2430.704
2,1.0
3,1.411
4,1.407
5,3.899
6,2097.058
7,1.0
8,1.0
9,2998.913
10,2335.899
310,1.0
1091,910.97
1213,2764.667
1517,1.0
3082,1.0
3084,1.0
3326,1.0
3327,1036.465
3328,2510.587
3329,1403.165
3472,1.0
3094,1.0
269,1.0
761,1.0
1465,1.0
2648,1.0
2649,1.0
3151,1.0
3460,1.0
1066,1.0
1247,1065.617
1815,1751.184
1978,1.422
2251,821.281
2252,1.0
2256,3125.319
2257,1.0
3324,1.0
3325,1.0
1009,1.0
1576,1785.941
1914,2907.511
3259,2725.954
3330,1.0
3331,1.0
3332,2848.017
3333,2307.528
731,1.0
748,1.0
807,1.0
808,1.0
809,2537.075
810,1.0
811,1.0
812,2420.849
813,1.0
814,3208.261
11,2596.153
12,5.362
13,2546.957
14,2749.154
15,1.0
16,1.0
17,1.0
18,1.0
19,2029.082
20,1.0
21,2584.93
708,1.0
1276,1.0
1482,1.0
1590,1.0
1632,1.0
2885,1.0
3334,1.0
3335,1.0
3336,1.0
3337,1.43
460,1926.712
765,1.0
766,1.394
767,1.0
768,1.0
769,1329.912
770,1.0
771,2643.737
772,2539.845
773,1846.149
218,2998.775
1364,2414.903
1365,2032.721
1366,1.0
1367,1969.026
1368,1.0
1369,1.0
1370,1.0
1371,1.0
1372,1883.278
296,2870.32
3618,2679.96
1344,1.0
1655,1.0
1798,1.0
2626,1.0
2877,2851.706
3338,3159.33
3339,1.0
3340,1.0
3341,1.0
3342,3281.084
22,2190.686
23,2866.57
24,1.0
25,1.0
26,1.0
27,1.0
28,2432.442
29,1.0
30,1.0
31,2478.421
730,1669.136
1240,1.0
2239,2587.584
2305,1.0
2654,3010.93
2826,1.0
3348,1.0
3349,1.0
3350,2811.472
295,1.0
1676,1971.861
2243,1.0
2400,1.0
2546,2553.153
3343,2148.164
3344,1.0
3345,2048.431
3346,1.0
3347,1.0
361,1.0
1305,2452.841
1755,1.0
1902,1.0
2672,1.0
3548,3045.503
4043,1.0
4413,1.0
5642,430.217
5643,2505.368
32,2750.519
33,1537.313
34,1852.76
35,1.0
36,3059.98
37,3112.582
38,1818.574
39,1.0
40,1.0
41,1.0
42,1.0
84,1.0
133,1.0
283,1.0
1800,1.0
2031,1.0
2430,1705.732
3278,1.0
3360,1.0
3361,2287.15
3362,1.0
599,1.457
1373,2526.412
1557,1.0
1669,1.0
1725,1.0
2035,1477.878
2138,1822.483
3351,1.0
3352,1.0
1327,1013.735
1329,551.852
2063,1920.243
2562,3234.907
2904,1418.555
3015,3128.876
3411,1908.328
7717,1.0
7718,1298.505
47,2825.341
226,3245.012
385,3070.849
386,3045.07
388,2492.084
389,1.0
998,1.0
2451,1.0
3358,2300.985
3359,1914.964
618,2018.58
620,1.0
864,1.0
1780,1.0
3035,3146.417
3353,1.0
3354,1.0
3355,1.0
3356,1.0
3357,1.0
43,2507.783
44,1.0
45,2747.574
46,1.0
48,2324.277
49,1.0
50,1767.227
51,1.0
52,1.0
202,2796.747
652,1.0
802,3.062
1030,795.469
3119,2603.242
3363,2269.605
3364,1.0
3365,1.0
3366,3033.392
3367,1.0
557,1096.907
1198,738.518
2323,1.0
3018,1950.903
3368,2690.79
3369,1.0
3370,2609.928
3371,1.0
3372,3237.43
485,1.0
990,1.0
1036,1.0
1435,1.0
1471,1.0
2180,1.0
2237,1.0
2574,1900.373
2575,2744.132
2576,3066.081
340,1.0
937,1.0
1313,5.158
2114,1953.29
3373,1.0
3374,460.267
3375,1.0
3376,1.0
3377,1.0
3378,2813.256
53,2546.754
54,1.0
55,2983.283
56,1696.552
57,2151.835
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,2579.487
975,5.153
1262,1.0
1267,2256.135
1525,480.118
1850,3229.228
2428,2704.919
2922,1.0
3040,2612.707
3266,3194.416
3379,1.0
469,1.0
1434,2579.393
2039,1889.778
2169,1.0
3385,1.0
3386,1.0
3387,1.0
3388,1.0
186,1.0
302,1.0
1508,1.0
2550,1385.704
2879,3226.049
2994,1.0
3380,1.0
3381,1.0
709,2062.431
1274,1.0
1648,3040.885
1784,1663.408
2288,1.0
3063,1555.169
3382,1.0
3383,2336.436
3384,1.0
64,936.35
65,2.223
66,1.0
67,1.0
68,861.955
69,1.0
70,1.0
71,1622.486
72,1.0
73,1.0
74,1.0
1524,1.0
3420,1.0
3421,1.0
2476,1.0
3137,2162.538
4070,1.0
6626,1.0
6820,1.0
6821,1.0
6822,1.0
1245,82.883
1922,1851.412
2873,1.0
3405,1.0
3406,1.0
3407,1425.471
3408,1.0
3409,1.0
3410,1.0
75,512.802
76,1137.705
1706,1.0
1722,1.0
2582,1.0
3422,2762.344
3423,1.0
3424,1.0
3425,1.0
3426,1.0
3427,1.0
3428,1.0
77,2945.55
78,2540.302
79,1.0
80,3230.705
81,1.0
82,2908.872
83,2642.147
85,2985.493
86,1.0
581,2715.012
2753,2955.252
2758,1.0
2773,1.854
3395,1.0
3396,1.0
3397,1.0
3398,2781.134
3399,1.0
221,2322.15
223,2735.158
275,2897.896
277,2979.621
387,2764.526
688,2488.415
693,2966.573
841,2263.797
842,2558.907
843,1.419
250,3196.78
785,1.0
1224,1.0
1361,1.0
1437,1892.308
1504,2418.3
2440,3209.628
3393,2585.348
3394,1.766
1612,1.0
1703,3260.91
1704,1.0
1705,1.0
1707,3210.806
1708,1967.207
1709,1670.815
1710,1.0
1802,1.0
1927,1.0
2327,3000.129
2583,3047.51
3204,2025.845
3389,1.0
3390,2799.046
3391,1.0
3392,2495.305
87,1.409
88,1.0
89,3156.42
90,2649.18
91,1.0
92,1.436
93,2059.671
94,1046.444
95,3173.205
96,2617.629
97,2910.752
98,1.0
676,2530.546
1997,1.0
2452,2768.865
3400,1.0
3401,2546.745
3402,1.0
3403,1.0
3404,2530.436
560,1.0
1022,2801.04
1033,1.0
1472,1.0
1711,1.0
2281,1050.211
3418,2801.676
3419,1.0
1629,1.0
2345,1.0
2346,1.0
2347,1.0
1355,2779.939
1514,2934.939
1631,1.0
2609,1116.717
2838,2433.296
3413,3.456
3414,2310.162
3415,2613.3
3416,3215.055
3417,3217.108
468,1.0
1691,1541.072
2121,3.162
2468,2093.99
2681,3241.473
2682,1.0
3442,1116.402
3443,1.0
3444,2706.055
279,2128.828
1681,1.0
2101,505.223
2219,1613.27
2997,1.0
3412,1267.479
99,2972.611
100,1.0
101,1603.272
102,1.0
103,1857.719
104,2353.071
105,2044.513
106,2306.075
107,2837.298
108,991.33
109,1955.03
451,1.0
827,1.0
966,1.404
1111,1.0
1592,2843.986
1766,1.0
2401,1.0
2639,1.0
3435,1353.219
3436,1.0
424,1.0
1214,1.0
1772,2828.947
3473,2662.668
3474,1.0
729,1.0
737,1.0
1498,3146.819
3277,2944.287
3437,2285.88
3438,1.0
3439,1.0
3440,1.0
3441,1.0
629,1.42
1062,2724.63
2571,3225.908
2861,1.0
2875,1.0
3120,1.0
3429,6.123
3430,1.0
3431,1.0
473,1823.788
640,1.0
1319,2105.599
2736,1.0
3218,1.0
3432,1.0
3433,1.0
3434,1.0
350,2934.33
694,2672.193
695,5.186
714,1.0
1096,2804.96
1218,1.0
2186,1513.398
3461,1.0
3462,1.428
3463,3006.247
1910,1.0
1924,1.0
2306,1.0
3030,2341.348
3445,1.0
3446,1.0
3447,1.0
3448,1.0
3449,1.0
123,412.718
1597,2940.418
1919,1.0
2801,2368.803
3168,1.0
3456,1.0
3457,1.0
3458,1.0
3459,1.403
110,2561.689
111,1.0
112,1740.416
113,1.0
114,2567.94
115,1.0
116,3056.869
117,1.0
118,5.111
119,1.0
120,2464.682
1043,1.0
1049,1.0
1050,1.0
1535,1.0
1998,1112.838
2404,1.0
2405,1.0
2406,1.0
2407,1391.661
2408,2712.58
924,1.0
1211,1.0
1512,3099.184
2092,2412.141
2413,1138.171
2744,1.0
2745,1.0
2746,1.0
925,2460.048
1451,2819.176
2414,949.683
3317,1.0
3450,1.0
3451,3325.693
3452,2367.181
3453,1405.05
3454,1.0
3455,3185.567
181,1.0
307,1.0
911,1.0
963,1.0
1649,1.0
1714,1.0
2627,1.0
3231,1.0
3315,1.0
426,1.0
923,1.0
1299,3117.483
1300,2686.625
1301,1.0
1302,1.0
1303,1.0
1304,1.0
121,1295.523
122,1239.985
124,1.0
125,1821.473
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
2022,3174.415
486,1.0
538,1.0
701,1.0
1129,1.0
1130,1.0
1131,1.0
1132,1.0
1133,1024.875
1134,1.0
1135,1.0
2030,1.0
2759,2353.86
3464,1.0
3465,1.0
3466,1.0
3467,1.0
3468,1.432
3469,1.0
3470,1.0
3471,2454.889
132,1.404
134,1495.036
135,3193.23
136,1.0
137,1.0
138,1.0
139,2.267
140,1.0
141,1.0
142,231.359
143,4.893
144,1.0
222,2792.532
230,2690.679
541,3074.679
821,1400.978
876,1211.646
999,1902.606
1114,1.0
1363,2220.236
3110,1.0
3571,1.0
5515,1.0
828,566.202
2788,1.0
3654,1.0
1783,3.475
4880,1.0
6600,4.8
145,2902.026
146,1.0
147,3176.546
148,1.0
149,1.0
150,1923.516
151,1290.075
152,1.0
153,2075.255
154,2457.315
155,2972.102
272,2511.395
391,3124.73
392,2698.879
933,1.0
1277,2627.388
1858,2139.296
2369,3269.591
3475,1.0
3476,3228.634
3477,1.0
553,1.0
554,1.0
555,1.0
556,1.0
558,1314.94
559,3192.08
561,1.0
194,1.0
238,1.0
548,1.0
573,1.0
2025,3154.158
2202,1.0
3497,1.0
3498,1.0
325,957.197
779,2866.224
2339,1.435
2376,2565.008
2519,1.0
3481,1.0
3482,1.0
3483,1.0
3484,1.0
3485,1.0
920,3001.593
2643,1.433
2694,1.0
2705,1.0
2823,2634.588
3490,1942.81
3491,1.0
481,906.109
632,2541.421
678,1.0
1770,1.0
2534,2044.268
3478,2613.751
3479,1.0
3480,1.0
156,1601.124
157,1.0
158,1.0
159,2980.324
160,985.803
161,1.0
162,1.0
163,1.0
164,1.432
165,1.0
419,3011.44
848,2598.284
939,1.0
1890,2442.52
3486,1.414
3487,2447.677
3488,1803.525
3489,651.944
562,2623.842
3669,1.0
166,1146.73
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,2807.103
173,1.0
174,1.0
175,1.0
338,1.436
873,1.0
2330,1873.905
2957,1240.943
3093,2868.775
3492,2546.73
3493,1.0
3494,1.0
3495,2636.831
3496,1532.359
176,2173.546
177,1.0
178,1.0
179,1.0
180,2851.164
182,1.0
183,1610.588
184,1.0
185,2627.89
326,2269.466
960,2698.462
1150,2235.361
2367,2659.254
2368,1.0
2370,1.0
1258,1.0
1520,2395.487
2990,1.0
3033,1.0
3149,1.0
3499,2039.649
3500,1.0
3501,1.0
1650,1.0
2047,1.0
2433,1526.252
2962,2242.191
6552,1.0
6587,2618.739
7114,1.0
7810,2851.927
187,2362.172
188,1.0
189,1.0
190,1.0
191,3146.955
192,1.0
193,1.0
195,5.59
196,2179.621
197,2595.397
276,2623.641
278,1.408
280,1.0
887,2651.584
1777,2476.246
1778,2916.434
305,2.233
406,1.0
744,1.0
1833,1.0
3502,1.0
3503,1.0
3504,1.0
1687,1.0
2506,1.0
2602,2755.566
3171,1.0
3313,1899.174
3540,1.0
3541,1.0
3542,1.0
3282,1.0
3514,1.0
3515,458.529
3516,3065.647
3517,1.0
3518,1590.106
3519,1017.571
3520,2241.115
198,2968.598
199,1.0
200,1.0
201,1.0
203,3167.323
204,1696.198
205,623.291
206,3057.547
207,2445.901
208,1238.596
1864,3174.507
2941,1.0
2956,1.0
3505,1.0
3506,1.0
3507,3018.729
3508,1.0
3509,1349.25
227,1806.193
271,569.327
853,1.0
1019,1.0
1020,2461.794
1086,3102.051
672,1.0
1441,1.0
1466,1.0
2477,1.0
2688,2079.533
2780,1.0
2871,1.0
3250,2555.164
1255,1.0
3318,1.0
3521,1475.396
3522,1.0
3523,1.0
3524,1.0
3525,1.0
3526,1.0
3527,1.0
3528,1.0
509,4.417
1073,2779.662
1929,1.0
3174,3036.501
3510,1.0
3511,1.0
3512,2641.342
3513,2732.876
1693,1.0
2185,1.0
3543,1.0
3544,2940.47
3545,1.0
3546,1.0
3547,1.0
1026,1.0
1037,1.0
3529,1.0
3530,1.0
3531,1.0
3532,1.0
3533,1.0
209,2149.198
210,1.0
211,1.395
212,2132.027
213,1.0
214,1.0
215,1153.911
216,1121.118
217,1.0
219,1.426
3534,1.0
2125,1.0
2416,1862.38
3321,1.0
3535,2424.029
3536,1.0
3537,1.0
3538,2112.88
3539,1.0
5311,1.0
7703,2787.791
819,2513.96
1608,2683.843
2462,1.0
2899,2422.545
3560,2.674
3561,1.0
3562,1.0
3563,3242.493
3564,2913.68
3565,1988.075
3566,1953.777
220,3199.774
224,5.919
225,3209.271
228,1.402
229,3211.589
390,3220.603
492,1.0
1153,1.0
2332,1.0
2647,883.74
4453,1.0
4454,2726.041
4455,1.0
4456,1.0
1000,1.0
2017,2906.708
3549,1.0
3550,1.0
3551,2592.125
3552,2594.962
3553,1.0
1088,2704.48
1110,1.0
1226,923.189
1227,1.0
1228,1.0
1229,2889.223
1230,2885.191
1231,1068.481
1232,1357.631
395,1.0
858,1.0
868,1.0
2066,2.828
3554,1.0
3555,1.0
3556,1.0
3557,1.0
273,2775.739
274,2855.121
854,3232.451
1113,1950.256
3857,1.0
313,1.0
415,2333.715
2472,2638.711
2473,1.0
2474,1.0
2475,1.0
2478,1.405
8743,1.0
231,2459.473
574,2684.191
575,1.0
576,1.0
577,1.0
578,1.0
579,2627.291
580,3141.103
232,1.0
233,3082.426
234,2554.441
235,1.0
236,1.0
237,1.0
239,1.0
240,2555.603
393,2144.937
3567,2955.307
3568,2720.68
3569,1.0
757,1.857
962,954.624
2662,2889.13
3558,1291.457
3559,1.0
1252,829.123
1611,2831.532
2456,1.0
3570,2419.901
3572,1.0
3573,1.0
3574,2993.079
3575,1.0
241,2312.805
242,1.0
243,1.419
244,1.0
245,2902.522
246,1.0
247,1.0
248,1.0
249,1694.092
251,1.0
3773,1.0
2750,1963.203
2794,1.0
3053,1.0
3854,1044.626
4229,1.0
5027,2337.376
6053,2720.279
6733,2719.11
6734,1.0
6735,2766.591
474,1.0
840,1658.653
2471,1.581
3576,1.0
3577,1.0
3578,1.0
252,2848.6
253,1.0
254,2512.221
255,2587.01
256,2990.78
257,1298.079
258,3091.674
259,1.0
260,1.0
625,1.0
1417,3152.637
2187,1.0
2449,2488.81
3579,1.0
1001,1.0
2240,2699.441
3285,78.801
3580,1.0
3581,1.0
3582,1.0
3583,3193.818
3584,1.0
3585,3222.242
525,1.0
1002,3206.442
1003,1.0
1004,1.0
1005,2977.501
861,3049.875
1792,1.0
2601,1.0
3586,1.0
3587,1.0
3588,1.0
3589,1.0
3590,1.0
1349,1680.793
3591,1.0
3592,2554.023
3593,1250.846
3594,617.14
261,2549.417
262,1.0
263,1.0
264,1394.417
265,1.0
266,1.834
267,1921.752
