Node,SIR
1,299.543
2,266.471
3,359.057
4,213.547
428,270.344
435,175.789
436,160.382
437,221.929
438,226.327
432,407.933
458,291.232
459,312.186
460,344.833
478,201.688
523,141.361
5,145.579
6,111.647
7,158.676
8,163.412
9,116.251
3644,111.345
3680,59.873
3397,215.667
3751,102.818
3830,71.816
10,74.787
11,117.035
3454,104.381
3535,171.316
12,7.184
13,16.074
4935,12.908
4936,21.691
14,114.197
15,160.711
115,160.03
119,130.461
125,224.431
171,117.353
173,118.044
174,165.35
175,124.546
16,84.75
17,95.088
18,97.435
32,58.893
33,88.613
34,56.912
35,134.665
47,129.742
19,159.935
20,243.175
21,146.199
22,426.718
23,364.432
24,318.009
25,305.81
26,481.224
27,329.123
28,430.264
131,361.9
132,183.551
106,288.536
67,478.638
198,523.54
205,300.584
226,487.181
31,387.772
61,474.866
29,333.64
30,446.492
59,412.93
60,416.898
99,307.635
177,368.375
178,268.362
179,410.391
36,58.133
37,57.738
38,81.184
39,51.964
96,180.873
167,93.036
44,100.634
68,49.266
117,66.471
40,128.092
41,130.332
42,132.314
43,167.951
190,213.178
45,262.814
163,280.464
245,264.489
255,211.385
46,73.438
48,45.401
111,168.014
65,43.392
49,263.68
50,419.955
110,521.544
127,481.26
51,212.511
52,368.432
55,371.758
153,302.932
168,279.752
530,241.007
540,319.419
53,228.651
54,182.561
116,197.369
218,230.143
4523,207.883
56,162.287
57,215.894
58,169.329
93,271.65
95,224.099
128,188.559
222,187.081
62,255.5
71,428.853
63,52.137
64,66.312
231,118.261
66,264.3
94,347.322
126,385.953
154,287.42
166,386.063
184,321.981
185,287.946
69,351.972
70,400.942
107,302.272
210,246.041
84,354.343
189,251.99
196,287.894
72,199.181
73,202.134
74,214.483
130,271.342
77,241.694
193,171.065
75,219.762
76,206.782
235,223.945
78,145.628
79,242.288
80,411.078
81,204.413
82,338.716
83,453.918
85,319.479
91,166.627
86,225.311
87,175.635
88,207.786
89,338.164
90,279.864
134,341.64
137,244.124
139,438.223
142,369.785
143,366.728
144,320.143
101,189.57
102,192.104
103,291.453
105,352.997
192,269.256
236,199.462
92,227.817
227,346.934
97,221.143
98,304.337
263,98.997
211,263.048
228,366.571
100,270.354
160,299.227
237,155.992
239,140.183
104,326.505
194,331.791
248,194.295
249,198.935
250,245.357
251,313.676
159,240.123
108,274.845
188,159.187
109,309.34
169,347.677
602,546.326
611,552.475
4510,304.473
191,168.169
112,163.601
113,144.997
114,180.398
183,167.243
200,175.012
201,138.493
121,190.646
124,154.679
150,269.545
118,64.806
161,108.891
120,129.057
122,188.817
123,176.067
165,365.426
219,299.107
2567,399.932
129,204.94
212,239.063
234,152.952
133,178.437
135,198.808
136,180.793
140,229.917
141,292.39
138,246.935
145,552.551
1048,239.767
1115,170.806
1147,265.29
4896,180.593
4901,194.017
4916,216.169
1079,346.076
1096,287.728
1142,229.613
1143,258.582
1144,220.843
1145,227.904
1146,229.881
1041,368.769
1062,275.869
1148,306.598
2451,305.57
197,552.383
199,572.857
146,95.366
147,121.221
148,76.451
155,142.658
157,113.63
223,129.419
264,59.46
149,231.566
151,267.669
152,266.689
202,378.128
259,175.58
176,307.93
156,226.061
158,121.968
242,143.179
240,158.143
241,170.768
162,168.312
164,253.095
1095,194.026
262,79.555
265,50.467
170,301.714
172,72.976
244,194.533
260,192.419
535,317.71
547,210.867
180,509.739
213,299.654
214,309.835
215,300.394
216,285.911
217,483.328
181,117.77
182,134.89
186,304.754
221,195.452
187,356.781
256,100.311
257,106.873
258,94.642
232,196.291
233,169.455
220,170.242
195,279.764
1045,248.908
1117,221.695
206,321.842
207,319.442
208,572.005
247,361.164
651,623.204
964,500.038
4257,540.434
203,333.251
549,301.136
3892,276.779
204,174.864
571,545.207
209,136.511
542,485.148
4245,445.988
268,106.781
224,85.93
225,136.483
243,113.334
266,108.492
229,280.781
230,195.654
4897,219.827
267,124.005
238,94.254
252,90.519
253,111.688
246,114.469
1061,313.227
1100,225.422
1105,265.705
261,74.531
254,126.636
269,177.921
270,184.489
271,257.683
272,109.703
310,181.323
311,152.489
315,221.152
316,153.496
317,108.926
377,255.379
399,329.155
273,206.87
274,286.616
275,157.098
276,136.111
277,331.496
278,182.198
279,300.692
410,157.469
393,161.154
421,88.766
322,360.72
323,296.488
330,318.268
388,214.186
396,243.524
405,86.002
406,82.51
280,163.372
281,253.032
282,108.172
283,323.796
284,130.896
285,163.099
286,227.135
287,251.243
334,78.028
363,77.352
411,92.208
306,294.215
319,232.958
369,297.555
372,190.627
373,269.524
288,136.085
289,174.729
290,183.051
365,133.884
386,176.685
398,165.425
291,137.517
292,186.081
293,163.018
298,256.931
367,205.797
412,121.147
354,212.75
423,70.572
294,103.542
295,164.65
