Node,SIR
1,35.832
1010,12.885
1023,6.239
1085,5.303
1156,15.885
1173,4.938
1189,20.732
1333,11.635
1404,12.386
1415,19.191
1456,4.426
1457,4.265
1489,6.163
1667,21.342
183,4.569
2,19.516
2053,3.763
2067,3.954
2080,4.09
2081,14.338
2300,5.836
2326,4.298
2499,6.917
2663,5.081
2738,5.163
2915,3.684
306,33.603
321,4.14
33,3.685
331,18.82
37,32.552
40,32.721
428,30.765
593,12.569
687,10.096
7,13.321
724,16.545
749,9.587
841,4.129
852,18.844
872,14.596
918,14.865
927,7.022
930,22.714
947,22.189
962,4.65
103,5.626
1417,7.714
1777,2.766
2072,11.976
2171,9.939
2241,3.63
268,11.122
2681,2.551
307,9.405
363,23.787
527,22.289
604,17.693
84,11.175
885,5.406
3,3.823
1160,3.283
1329,1.613
1872,1.489
2259,3.312
4,1.207
417,3.0
574,1.149
756,4.725
879,6.52
965,13.634
5,4.027
6,8.396
9,20.54
1120,12.068
1493,8.589
201,8.312
817,34.398
823,3.577
846,11.127
888,19.343
1944,2.968
212,13.75
777,13.141
8,2.666
1076,7.38
1089,13.17
1104,13.012
1245,6.705
1291,11.187
1334,6.257
1359,12.167
1424,4.342
1434,3.864
1609,3.356
197,16.173
2089,6.582
2191,9.761
2214,4.722
2597,7.002
2633,4.194
558,6.174
889,50.967
938,7.798
10,7.314
11,2.688
12,5.372
127,31.124
2740,1.937
505,9.78
631,40.967
798,3.097
82,6.899
188,16.585
796,29.731
13,3.387
1026,3.554
14,6.231
2407,1.971
450,1.478
592,10.902
684,2.152
110,17.021
1384,5.414
1684,2.292
1808,2.783
2083,9.134
929,14.577
15,90.29
1005,11.97
1018,23.301
1040,33.696
1056,18.856
1057,39.384
106,10.006
1067,19.505
107,40.212
1100,36.964
1129,8.985
1136,19.914
1141,8.362
1145,9.882
1152,34.259
1169,24.479
1211,12.104
1219,8.477
122,63.455
1243,9.277
1272,10.232
1277,31.556
1343,14.565
1350,22.766
1372,12.51
1393,9.397
141,37.542
1425,16.857
1432,10.963
1465,13.078
151,30.08
152,16.588
155,48.447
156,63.018
1583,9.161
16,26.486
162,16.9
1632,19.342
1654,21.758
1678,23.848
171,35.479
1726,12.476
1740,15.752
1776,15.421
1909,18.734
1912,19.453
1937,28.022
196,51.662
1979,14.624
1988,11.187
2024,22.167
2028,10.983
2088,9.368
2115,18.334
2133,12.263
218,9.435
2203,14.811
2222,14.586
2254,9.038
2275,13.454
2277,10.285
2333,14.226
2350,8.438
2360,9.132
2399,9.768
24,49.363
2404,12.199
2421,9.062
247,54.717
2555,8.564
2568,11.029
2573,17.081
2587,9.831
265,45.425
2704,10.144
2751,7.874
2771,8.803
278,23.347
280,25.435
282,18.913
2871,7.723
3018,8.433
303,26.76
3086,9.273
312,30.948
336,20.009
354,40.909
372,32.333
402,18.704
410,44.579
411,34.88
433,31.512
435,16.308
451,13.158
48,48.176
520,21.051
546,30.913
564,14.955
588,21.131
594,19.165
615,14.232
639,16.272
649,33.329
656,25.592
670,11.211
674,14.84
680,24.777
692,12.823
705,29.606
715,14.674
728,16.2
748,9.11
772,53.05
805,40.395
824,32.747
851,8.323
880,33.207
883,16.911
901,9.599
910,31.455
950,10.428
952,21.547
954,27.631
96,38.704
964,39.254
972,26.625
999,38.115
124,72.787
140,52.186
182,68.861
308,34.987
609,27.168
808,22.562
17,1.486
326,6.842
18,2.634
1216,1.209
19,1.22
2078,7.898
51,9.758
20,6.141
199,10.885
21,2.626
3042,2.471
329,44.287
1234,6.405
422,8.798
22,2.92
2139,3.737
706,8.365
76,9.987
23,9.94
1474,1.669
2673,1.376
339,1.886
87,45.654
1214,15.5
1232,19.831
142,46.475
1555,6.121
175,82.199
2155,4.223
2295,15.527
250,32.461
276,30.089
2953,6.668
304,64.531
38,39.756
406,28.35
455,17.435
463,11.035
510,12.702
544,25.699
573,12.611
613,15.77
624,15.273
720,43.223
838,15.385
875,12.478
924,9.262
97,21.327
25,2.258
26,1.198
2702,1.092
27,1.089
28,1.089
29,2.994
1105,9.006
1159,7.214
1491,3.304
30,2.454
1383,2.639
1616,3.589
1911,2.969
2803,2.197
31,1.478
1236,1.129
1367,4.534
1940,3.814
32,1.879
172,1.248
3049,1.147
1224,2.138
34,60.775
1004,8.446
1086,23.866
1138,19.909
115,16.66
1217,23.599
1290,14.975
1294,15.93
1337,23.493
1338,16.359
1341,21.473
1342,11.065
1376,21.333
1389,17.123
147,20.425
1480,19.178
1481,11.323
1505,30.69
1518,18.408
1545,6.632
1648,13.736
1661,20.48
1685,8.708
181,25.769
1835,9.703
1888,8.039
1899,7.16
1924,11.595
2000,11.304
203,16.912
2116,14.841
2216,11.63
2260,6.496
232,18.583
2331,20.149
2343,14.726
2454,8.693
2609,8.778
271,54.51
2770,6.684
2791,17.936
2868,6.756
319,42.564
35,46.928
369,16.265
386,19.498
412,31.386
434,20.742
441,18.025
448,17.224
477,9.057
49,26.146
54,8.268
59,20.447
602,14.493
751,26.577
753,6.223
776,10.514
969,20.347
1155,24.699
133,45.486
1488,14.442
1639,5.211
1849,15.03
2243,5.523
231,40.361
241,21.242
255,13.177
258,14.368
2669,13.249
393,10.932
55,15.206
840,23.477
36,39.406
1271,26.821
1584,17.679
1594,5.794
1959,5.114
281,15.57
301,11.106
