Nodes,SIR
0,244.259
56,232.114
577,257.673
737,255.217
687,247.85
1,241.571
822,259.613
949,257.834
282,252.566
457,246.189
2,242.394
940,252.265
169,247.639
493,256.738
3,248.801
345,245.211
797,254.523
851,245.533
548,242.168
4,235.314
562,246.491
228,237.013
929,254.443
981,250.402
5,244.931
852,244.387
305,247.313
544,253.508
6,254.123
988,244.908
874,241.286
341,250.418
7,212.181
964,254.679
800,252.757
80,247.931
8,252.892
418,251.525
70,244.68
170,251.53
9,245.662
139,254.408
340,239.449
952,244.865
892,254.131
10,238.137
932,248.998
485,245.262
989,238.035
351,219.232
11,243.979
47,241.623
399,254.089
818,242.467
501,253.439
12,253.55
73,244.499
223,247.306
816,252.994
297,252.088
13,245.561
890,202.211
303,250.16
14,248.21
263,245.233
395,241.566
159,247.518
15,248.373
455,238.558
948,261.225
98,236.285
16,249.922
627,244.509
232,245.152
885,246.284
17,244.29
979,245.5
656,245.353
124,243.283
409,248.606
18,255.143
185,245.701
624,244.448
827,255.354
953,251.129
19,254.651
468,244.599
595,253.56
413,239.649
663,249.082
20,244.54
581,244.518
156,248.966
666,246.757
805,238.129
21,241.871
994,246.618
677,246.824
530,238.818
22,249.372
32,250.108
323,255.434
37,241.274
326,243.504
23,246.33
722,238.926
983,249.114
494,239.065
24,249.786
812,247.168
904,248.718
121,243.61
25,254.233
807,247.714
437,252.501
704,255.534
422,246.16
26,244.953
567,239.06
902,254.898
480,245.979
53,251.121
27,256.791
782,255.152
897,255.239
766,248.724
69,242.67
28,247.768
934,250.709
154,248.0
811,244.988
623,238.474
29,240.911
635,255.267
868,246.813
870,248.982
30,250.859
814,257.822
71,252.72
31,247.338
592,240.462
90,250.519
329,239.565
243,249.841
616,244.788
224,246.742
33,212.452
81,246.106
46,246.676
34,240.732
843,249.599
713,242.574
528,248.721
35,254.771
728,250.89
36,253.294
582,247.22
226,252.051
476,254.55
698,252.292
190,251.708
332,239.887
428,207.7
38,247.34
590,239.484
880,246.633
115,256.188
39,248.974
423,242.418
686,251.715
213,243.077
40,249.209
746,238.337
731,244.338
87,249.63
41,244.366
449,248.843
42,254.728
587,246.922
575,246.847
532,242.286
291,246.095
43,238.434
484,256.21
565,248.307
44,245.683
193,249.618
301,244.616
866,248.006
45,246.498
861,248.598
200,260.051
788,247.59
512,247.02
108,248.778
473,254.578
421,249.078
377,246.252
48,254.467
517,243.468
49,237.176
414,248.463
558,238.305
50,255.463
101,248.816
85,246.278
913,244.909
382,255.091
51,248.766
619,249.523
425,250.612
52,246.682
347,255.186
707,254.302
366,243.239
54,250.871
313,256.513
751,242.992
55,250.117
207,250.11
943,248.761
182,248.986
110,250.679
284,239.1
100,252.689
57,251.195
541,246.895
692,241.808
367,246.113
58,244.692
142,252.151
855,245.136
611,243.823
993,250.798
59,255.537
717,248.812
911,250.498
798,250.32
60,242.48
78,247.173
924,246.591
879,244.186
118,249.909
61,253.56
819,249.706
560,245.494
62,246.938
63,247.318
231,244.768
968,252.729
621,246.749
64,250.517
371,251.031
802,244.402
65,248.701
673,249.117
358,240.669
66,242.973
916,246.87
67,249.484
116,244.754
842,255.14
68,251.794
112,251.461
661,245.672
829,248.966
556,247.865
614,246.509
72,251.817
625,247.118
217,243.373
74,258.124
134,254.293
208,251.91
75,243.338
125,253.488
444,239.599
76,254.977
309,247.687
857,247.03
77,253.101
978,246.59
690,254.244
218,251.719
962,249.412
195,242.954
79,250.09
245,241.167
608,244.82
640,235.59
374,253.77
702,244.548
759,252.19
141,234.834
82,242.157
660,238.404
83,245.755
331,250.677
88,248.218
84,247.04
974,246.319
803,239.63
685,250.653
327,235.979
86,245.055
990,252.901
149,237.684
682,242.659
89,251.193
513,242.728
310,257.777
511,251.254
151,257.708
210,246.563
364,257.814
91,241.418
229,252.679
918,253.009
92,256.724
604,239.548
93,244.878
833,256.831
94,245.703
586,257.224
834,251.535
95,245.439
